ticker,VNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-12,-3.5714
2018-06-13,1.358
2018-06-14,0.4872
2018-06-15,-0.6126
2018-06-18,-1.0179
2018-06-19,-1.5525
2018-06-20,3.8798
2018-06-21,-1.0843
2018-06-22,0.3654
2018-06-25,-2.4029
2018-06-26,1.9647000000000001
2018-06-27,0.561
2018-06-28,-1.5038
2018-06-29,-1.379
2018-07-02,6.4919
2018-07-03,3.6342
2018-07-05,3.7104
2018-07-06,-6.2609
2018-07-09,1.0472
2018-07-10,6.6099
2018-07-11,3.6941
2018-07-12,-1.0625
2018-07-13,-1.116
2018-07-16,3.2368
2018-07-17,2.4546
2018-07-18,3.785
2018-07-19,1.8429
2018-07-20,-3.219
2018-07-23,-3.7197
2018-07-24,-2.4734
2018-07-25,-0.5869
2018-07-26,-3.015
2018-07-27,3.0435
2018-07-30,4.1139
2018-07-31,5.9777000000000005
2018-08-01,-3.9962
2018-08-02,-0.6373
2018-08-03,0.3207
2018-08-06,2.038
2018-08-07,4.8169
2018-08-08,3.0824
2018-08-09,0.9424
2018-08-10,-1.2388
2018-08-13,-2.745
2018-08-14,0.972
2018-08-15,-2.351
2018-08-16,2.1611
2018-08-17,3.6185
2018-08-20,-2.2027
2018-08-21,-2.3073
2018-08-22,-4.0862
2018-08-23,1.7979
2018-08-24,1.7469999999999999
2018-08-27,-1.1132
2018-08-28,-2.6330999999999998
2018-08-29,-1.1954
2018-08-30,-2.5585
2018-08-31,1.6487
2018-09-04,2.9035
2018-09-05,0.7978
2018-09-06,0.5792
2018-09-07,2.6871
2018-09-10,3.1402
2018-09-11,-2.5734
2018-09-12,1.9903
2018-09-13,-2.8816
2018-09-14,-0.169
2018-09-17,0.9029
2018-09-18,-3.0947
2018-09-19,3.8092
2018-09-20,3.7805999999999997
2018-09-21,0.625
2018-09-24,-0.0177
2018-09-25,-1.1005
2018-09-26,1.1665
2018-09-27,-1.0999
2018-09-28,-1.2197
2018-10-01,0.8353
2018-10-02,-6.7711
2018-10-03,-3.5349
2018-10-04,-1.9824000000000002
2018-10-05,-3.2686
2018-10-08,2.0063
2018-10-09,0.8282
2018-10-10,-5.7084
2018-10-11,-0.7622
2018-10-12,-5.8372
2018-10-15,3.0529
2018-10-16,5.7666
2018-10-17,-1.176
2018-10-18,-6.4258
2018-10-19,-6.3121
2018-10-22,0.9625
2018-10-23,1.6622
2018-10-24,-7.8865
2018-10-25,-16.7841
2018-10-26,2.0389
2018-10-29,0.5841
