ticker,RHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-22,-5.8824
2006-12-26,-9.375
2006-12-27,3.4483
2006-12-29,-6.6667
2007-01-04,-21.4286
2007-01-05,25.0
2007-01-08,12.0
2007-01-09,-2.2727
2007-01-10,0.6645
2007-01-11,-9.2409
2007-01-12,10.5455
2007-01-16,-6.25
2007-01-17,-8.7719
2007-01-18,-3.0769
2007-01-19,-0.7937
2007-01-22,-2.0
2007-01-23,-10.2041
2007-01-24,6.8182
2007-01-25,-1.2766
2007-01-26,-1.7241
2007-01-29,7.0175
2007-01-30,-3.6885
2007-01-31,-2.1277
2007-02-01,-4.3478
2007-02-02,-2.2727
2007-02-05,8.3721
2007-02-06,-3.0043
2007-02-08,-0.4204
2007-02-09,-0.0222
2007-02-12,-3.5556
2007-02-13,2.3041
2007-02-14,6.3063
2007-02-15,10.1695
2007-02-16,-1.9183
2007-02-20,-6.5928
2007-02-21,-10.5793
2007-02-22,6.1033
2007-02-23,-4.8673
2007-02-26,6.9767
2007-02-27,-4.7826
2007-02-28,-0.4566
2007-03-01,-3.6696999999999997
2007-03-02,0.0
2007-03-05,1.9048
2007-03-06,0.4673
2007-03-07,7.4419
2007-03-08,0.8658
2007-03-09,-3.8627000000000002
2007-03-12,0.0
2007-03-13,-2.6786
2007-03-14,-4.5872
2007-03-15,1.9231
2007-03-16,1.4151
2007-03-19,-6.5116
2007-03-21,1.99
2007-03-23,-9.2683
2007-03-26,-4.3011
2007-03-27,-2.809
2007-03-28,-10.4046
2007-03-29,5.1613
2007-03-30,9.816
2007-04-02,-0.5587
2007-04-03,-3.9115
2007-04-04,-2.3606
2007-04-09,1.7964
2007-04-10,-4.7059
2007-04-11,-4.9383
2007-04-12,-5.8442
2007-04-13,10.3448
2007-04-16,8.75
2007-04-17,0.0
2007-04-18,-2.2989
2007-04-19,-2.9412000000000003
2007-04-20,-3.0303
2007-04-23,-1.875
2007-04-24,1.9108
2007-04-25,-6.25
2007-04-26,12.0
2007-04-27,0.0
2007-04-30,7.1429
2007-05-01,1.1111
2007-05-02,-6.5934
2007-05-03,-5.9118
2007-05-04,-1.2191
2007-05-08,-5.0633
2007-05-10,6.6667
2007-05-14,15.625
2007-05-15,5.4054
2007-05-16,0.0
2007-05-17,2.0449
2007-05-18,-7.0293
2007-05-21,-5.4054
2007-05-22,-2.8643
2007-05-23,0.0
2007-05-24,-8.8168
2007-05-25,9.6774
2007-05-29,-5.8824
2007-05-30,-3.125
2007-05-31,-3.2258
