ticker,VBHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-20,0.0
2013-01-03,-20.0
2013-01-04,0.0
2013-01-07,-10.7969
2013-01-10,-15.9222
2013-01-28,0.0
2013-02-01,0.0
2013-02-04,-16.6667
2013-02-19,-20.0
2013-02-21,-25.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,-26.6667
2013-05-13,36.3636
2013-05-15,40.0
2013-05-16,0.0
2013-05-17,-23.8095
2013-05-20,-3.125
2013-05-21,12.9032
2013-05-22,11.4286
2013-05-23,-2.5641
2013-05-24,-10.526299999999999
2013-05-28,5.8824
2013-06-04,27.7778
2013-06-05,-56.5217
2013-06-07,0.0
2013-06-10,35.0
2013-06-11,3.7037
2013-06-12,-1.4285999999999999
2013-06-14,-27.5362
2013-06-18,0.0
2013-06-20,10.0
2013-06-21,9.0909
2013-06-24,0.0
2013-06-27,-8.3333
2013-07-10,-9.0909
2013-07-11,0.0
2013-07-15,0.0
2013-07-16,-49.5
2013-07-22,0.2475
2013-07-26,-1.2346
2013-07-29,0.0
2013-07-30,40.0
2013-07-31,-14.2857
2013-08-07,-13.3333
2013-08-16,-3.8462
2013-08-19,40.0
2013-08-20,28.5714
2013-08-23,-33.3333
2013-08-28,0.0
2013-08-29,-31.6667
2013-09-03,21.6463
2013-09-05,0.0
2013-09-06,-39.8496
2013-09-12,10.0
2013-09-13,0.0
2013-09-19,-9.0909
2013-09-20,-16.6667
2013-09-23,0.0
2013-09-27,100.0
2013-09-30,-0.25
2013-10-01,10.2757
2013-10-11,-9.0909
2013-10-15,-20.0
2013-10-17,25.0
2013-10-25,-40.0
2013-11-11,33.3333
2013-11-13,-50.0
2013-11-19,-50.0
2013-12-04,100.0
2013-12-05,-59.375
2013-12-18,-32.3077
2014-01-06,136.3636
2014-01-07,7.6923
2014-01-08,-35.7143
2014-01-09,46.5278
2014-01-10,0.0
2014-01-13,-15.1659
2014-01-14,-0.5587
2014-01-16,-10.1124
2014-01-21,-25.0
2014-01-22,-4.1667
2014-01-23,-12.1739
2014-01-24,-4.9505
2014-01-27,16.6667
2014-01-30,0.0
2014-02-03,0.0
2014-02-04,-26.7857
2014-02-05,0.0
2014-02-06,-12.1951
2014-02-07,0.0
2014-02-10,0.0
2014-02-13,0.0
2014-02-18,122.2222
2014-02-19,-40.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,-30.2083
2014-02-25,31.3433
2014-02-27,-9.0909
2014-03-03,10.0
2014-03-04,-6.8182
