ticker,CVCY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-4.6154
2000-01-05,-3.2258
2000-01-07,-3.3333
2000-01-10,-17.2414
2000-01-14,27.0833
2000-01-18,-1.6393
2000-01-19,0.0
2000-01-24,3.3333
2000-01-25,-12.9032
2000-01-26,0.0
2000-01-27,5.5556
2000-02-02,5.2632
2000-02-08,3.3333
2000-02-15,-3.2258
2000-02-16,-5.8333
2000-02-17,-4.4248
2000-02-18,0.0
2000-02-23,0.0
2000-02-24,3.7037
2000-02-25,3.5714
2000-02-28,0.0
2000-03-01,-3.4483
2000-03-06,-7.1429
2000-03-08,0.0
2000-03-09,5.7692
2000-03-10,0.0
2000-03-14,-1.8182
2000-03-17,1.8519
2000-03-20,0.0
2000-03-27,-1.8182
2000-03-28,0.0
2000-03-29,1.8519
2000-04-05,-1.8182
2000-04-07,0.0
2000-04-10,1.3889
2000-04-11,2.2831
2000-04-12,-7.1429
2000-04-13,5.7692
2000-04-17,-5.4545
2000-04-26,0.0
2000-05-04,17.3077
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,-6.5574
2000-05-11,0.0
2000-05-12,7.0175
2000-05-24,6.5574
2000-06-02,-6.1538
2000-06-09,0.0
2000-06-13,0.0
2000-06-16,0.0
2000-06-28,-6.5574
2000-06-30,0.0
2000-07-03,1.7544
2000-07-05,-7.7586
2000-07-06,0.9346
2000-07-07,11.1111
2000-07-10,-10.0
2000-07-11,2.7778
2000-07-26,0.9009
2000-08-02,-3.5714
2000-08-07,0.0
2000-08-08,3.7037
2000-08-09,-3.5714
2000-08-10,3.7037
2000-08-16,-3.5714
2000-08-24,-3.7037
2000-08-25,3.8462
2000-08-31,0.0
2000-09-06,3.7037
2000-09-07,-3.5714
2000-09-08,0.0
2000-09-12,0.0
2000-09-13,0.463
2000-09-14,-0.4608
2000-09-18,0.463
2000-09-19,-0.4608
2000-09-21,4.6296
2000-09-27,-0.885
2000-09-28,-0.8929
2000-09-29,0.9009
2000-10-02,-0.8929
2000-10-03,-2.7027
2000-10-04,0.0
2000-10-05,-3.7037
2000-10-06,5.7692
2000-10-18,-5.4545
2000-10-19,0.0
2000-10-23,0.0
2000-10-24,-1.9231
2000-10-25,1.4706000000000001
2000-10-27,0.4831
2000-10-30,3.8462
2000-10-31,1.8519
2000-11-01,-1.8182
2000-11-06,-3.7037
2000-11-07,0.0
2000-11-08,3.8462
2000-11-09,-3.7037
2000-11-14,5.7692
2000-11-15,0.0
2000-11-16,0.0
