ticker,FPSUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-22,11.7647
2004-09-23,2.6316
2004-09-28,-7.6923
2004-10-13,-16.6667
2004-10-21,0.0
2004-11-02,0.0
2004-11-04,-6.6667
2004-11-10,10.7143
2004-11-11,5.1613
2004-11-12,4.2945
2004-11-19,1.0662
2004-11-29,-12.6955
2004-11-30,13.3333
2004-12-06,-11.7647
2004-12-08,-3.3333
2004-12-15,-13.7931
2004-12-16,0.0
2004-12-21,-4.0
2004-12-22,-8.3333
2004-12-23,6.8182
2004-12-29,2.1277
2004-12-30,1.6667
2005-01-06,14.7541
2005-01-11,-10.7143
2005-01-12,4.0
2005-01-14,1.5385
2005-01-20,-3.7879
2005-01-24,-5.5118
2005-01-31,-10.4167
2005-02-02,-9.3023
2005-02-11,33.3333
2005-02-14,15.3846
2005-02-17,-1.3333
2005-02-18,7.4324
2005-02-23,6.9182
2005-03-02,11.7647
2005-03-04,-12.1053
2005-03-07,13.7725
2005-03-09,7.8947
2005-03-15,-21.9512
2005-03-16,5.7422
2005-03-17,0.1108
2005-03-21,-5.6089
2005-03-22,-2.502
2005-03-24,2.2053
2005-03-28,-8.1601
2005-04-01,0.4699
2005-04-27,1.3605
2005-07-06,6.7114
2005-07-07,6.9182
2005-07-12,0.0
2005-07-15,-17.647100000000002
2005-08-02,-41.9196
2005-08-09,67.256
2005-08-15,-4.4118
2005-08-19,-7.4519
2005-08-29,6.3896
2005-09-02,-2.3437
2005-09-08,11.7
2005-09-13,13.1603
2005-09-14,7.5949
2005-09-28,-17.647100000000002
2005-10-20,-7.1429
2005-11-04,10.0
2005-12-06,-34.965
2005-12-14,7.5269
2005-12-15,0.0
2005-12-16,30.0
2005-12-22,0.0
2005-12-23,59.2308
2005-12-28,-15.4589
2005-12-30,12.5714
2006-01-04,4.0609
2006-01-05,-0.4878
2006-01-06,12.7451
2006-01-09,8.6957
2006-01-10,-12.0
2006-01-12,9.0909
2006-01-13,22.9167
2006-01-17,-14.2373
2006-01-18,14.6245
2006-01-19,-4.1379
2006-01-24,0.7194
2006-01-25,-19.6429
2006-01-30,24.4444
2006-01-31,-4.6429
2006-02-01,17.9775
2006-02-03,-10.4762
2006-02-07,5.6738
2006-02-13,0.6711
2006-02-15,-25.0
2006-02-24,17.7778
2006-02-28,-2.6414999999999997
2006-03-01,7.7519
2006-03-02,18.705
2006-03-07,0.0
2006-03-10,4.5455
2006-03-13,-4.3478
2006-03-16,11.818200000000001
2006-03-20,-7.8591
