ticker,VERO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-12,41.7143
2017-10-13,-3.2258
2017-10-16,-6.7708
2017-10-17,-2.0112
2017-10-18,-20.0684
2017-10-19,-5.7061
2017-10-20,5.295
2017-10-23,3.592
2017-10-24,3.7448
2017-10-25,-2.2727
2017-10-26,1.7784
2017-10-27,-3.2258
2017-10-30,-8.1944
2017-10-31,8.6233
2017-11-01,-0.9749
2017-11-02,-3.0942
2017-11-03,0.4354
2017-11-06,-6.0694
2017-11-07,-0.3077
2017-11-08,-2.0062
2017-11-09,-9.2913
2017-11-10,24.8264
2017-11-13,-6.9541
2017-11-14,-2.0927
2017-11-15,-3.6641
2017-11-16,-3.3281
2017-11-17,-1.6393
2017-11-20,-2.0
2017-11-21,-1.1905000000000001
2017-11-22,3.2702
2017-11-24,0.0
2017-11-27,1.8333
2017-11-28,0.8183
2017-11-29,-2.5974
2017-11-30,0.8333
2017-12-01,2.1488
2017-12-04,-1.2945
2017-12-05,3.4426
2017-12-06,-4.9128
2017-12-07,-7.0
2017-12-08,-4.4803
2017-12-11,3.1895
2017-12-12,-0.9091
2017-12-13,1.2844
2017-12-14,-2.1739
2017-12-15,-10.0
2017-12-18,2.0576
2017-12-19,-4.6371
2017-12-20,-3.3827
2017-12-21,1.3129
2017-12-22,-6.9114
2017-12-26,-5.3364
2017-12-27,7.8431
2017-12-28,1.5909
2017-12-29,2.9083
2018-01-02,7.3913
2018-01-03,-0.8097
2018-01-04,5.3061
2018-01-05,-0.969
2018-01-08,-5.8708
2018-01-09,-6.0291
2018-01-10,-2.4336
2018-01-11,0.0
2018-01-12,-0.4535
2018-01-16,-7.2893
2018-01-17,11.0565
2018-01-18,-8.8496
2018-01-19,0.0
2018-01-22,2.1845
2018-01-23,-3.8005
2018-01-24,3.9506
2018-01-25,1.1876
2018-01-26,13.3803
2018-01-29,9.937899999999999
2018-01-30,-0.565
2018-01-31,-3.5985
2018-02-01,-0.3929
2018-02-02,3.3531
2018-02-05,2.2901
2018-02-06,-9.8881
2018-02-07,-10.352
2018-02-08,7.1594
2018-02-09,-4.3103
2018-02-12,-0.4505
2018-02-13,1.81
2018-02-14,11.1111
2018-02-15,1.6
2018-02-16,-8.8583
2018-02-20,1.2959
2018-02-21,35.6077
2018-02-22,1.5723
2018-02-23,-5.418
2018-02-26,-4.2553
2018-02-27,-1.5385
2018-02-28,-2.2569
2018-03-01,-3.5524
2018-03-02,-1.6575
2018-03-05,6.5543
2018-03-06,6.8541
