ticker,BZUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-21,4.4
2015-05-22,6.1303
2015-05-26,15.343
2015-05-27,-4.2254
2015-05-28,-2.9412000000000003
2015-05-29,2.862
2015-06-01,-5.9738
2015-06-02,-1.3054999999999999
2015-06-03,-3.7919
2015-06-04,-1.3749
2015-06-05,1.8587
2015-06-08,8.1204
2015-06-09,-4.0506
2015-06-10,1.9348999999999998
2015-06-11,2.2433
2015-06-12,5.3165
2015-06-15,-5.1282
2015-06-16,0.7601
2015-06-17,-0.3353
2015-06-18,1.6821000000000002
2015-06-19,-2.6468
2015-06-22,-1.2744
2015-06-23,1.1188
2015-06-24,-0.3404
2015-06-25,-2.3057
2015-06-26,-3.3217
2015-06-29,-8.4991
2015-06-30,6.4229
2015-07-01,-4.2711
2015-07-02,-0.7759
2015-07-06,-6.6471
2015-07-07,-22.2513
2015-07-08,-3.569
2015-07-09,13.5475
2015-07-10,2.46
2015-07-13,-2.1609
2015-07-14,-0.7362
2015-07-15,-5.1916
2015-07-16,-2.6076
2015-07-17,2.6774
2015-07-20,-4.0417
2015-07-21,5.2989
2015-07-22,15.7419
2015-07-23,-3.233
2015-07-24,-6.3364
2015-07-27,8.1181
2015-07-28,-4.7782
2015-07-29,1.9116
2015-07-30,-2.1102
2015-07-31,-0.479
2015-08-03,0.8424
2015-08-04,0.2387
2015-08-05,0.119
2015-08-06,-2.6159
2015-08-07,1.0989
2015-08-10,3.2609
2015-08-11,-3.6257
2015-08-12,-1.8204
2015-08-13,-4.8208
2015-08-14,0.3896
2015-08-17,0.1294
2015-08-18,1.6796
2015-08-19,-12.3253
2015-08-20,-12.7536
2015-08-21,-6.1462
2015-08-24,-16.9912
2015-08-25,-0.6397
2015-08-26,0.6438
2015-08-27,10.4478
2015-08-28,1.9304999999999999
2015-08-31,-3.0303
2015-09-01,-4.4922
2015-09-02,1.0225
2015-09-03,6.8826
2015-09-04,-2.4621
2015-09-08,3.6893000000000002
2015-09-09,-4.4944
2015-09-10,0.1961
2015-09-11,-0.3914
2015-09-14,-1.9646
2015-09-15,1.8035999999999999
2015-09-16,4.1339
2015-09-17,1.1342
2015-09-18,1.4953
2015-09-21,-5.1565
2015-09-22,0.7767
2015-09-23,-4.4315999999999995
2015-09-24,3.0242
2015-09-25,-1.5655999999999999
2015-09-28,-4.5725999999999996
2015-09-29,0.0
2015-09-30,0.4167
2015-10-01,-3.7344
2015-10-02,13.1466
2015-10-05,-0.5714
2015-10-06,1.341
