ticker,CIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-11,2.2422
2009-12-14,-3.8462
2009-12-15,-8.0702
2009-12-16,0.0382
2009-12-17,-0.6486
2009-12-18,5.6068
2009-12-21,2.6545
2009-12-22,1.3461
2009-12-23,0.9088
2009-12-24,-0.0693
2009-12-28,-2.1837
2009-12-29,-1.63
2009-12-30,-0.2161
2009-12-31,-0.3249
2010-01-04,2.7526
2010-01-05,4.97
2010-01-06,6.5816
2010-01-07,0.0945
2010-01-08,1.5109
2010-01-11,4.7752
2010-01-12,-0.7103
2010-01-13,-2.3547000000000002
2010-01-14,-0.9768
2010-01-15,-1.2947
2010-01-19,1.9363000000000001
2010-01-20,0.8272
2010-01-21,-0.2735
2010-01-22,-0.518
2010-01-25,-0.7351
2010-01-26,0.1851
2010-01-27,-1.0471
2010-01-28,-2.023
2010-01-29,1.0801
2010-02-01,-1.4771
2010-02-02,-1.8182
2010-02-03,1.8194
2010-02-04,-2.8398
2010-02-05,0.9852
2010-02-08,-0.4553
2010-02-09,2.6135
2010-02-10,1.9102000000000001
2010-02-11,-0.5311
2010-02-12,1.2877
2010-02-16,0.4031
2010-02-17,1.1118
2010-02-18,-0.5498
2010-02-19,0.1843
2010-02-22,1.1956
2010-02-23,0.9391
2010-02-24,1.2305
2010-02-25,3.7652
2010-02-26,4.0857
2010-03-01,0.3294
2010-03-02,-0.5746
2010-03-03,-1.7061
2010-03-04,-0.8959
2010-03-05,1.6667
2010-03-08,0.2501
2010-03-09,-0.194
2010-03-10,1.6107
2010-03-11,1.2025000000000001
2010-03-12,-0.216
2010-03-15,-0.3789
2010-03-16,-1.4127
2010-03-17,4.3538
2010-03-18,-0.8714
2010-03-19,1.5983
2010-03-22,0.0524
2010-03-23,2.1751
2010-03-24,0.6155
2010-03-25,-0.5608
2010-03-26,-0.0256
2010-03-29,-0.0513
2010-03-30,-0.2052
2010-03-31,0.1542
2010-04-01,0.1027
2010-04-05,-0.641
2010-04-06,0.5935
2010-04-07,-0.1539
2010-04-08,1.3875
2010-04-09,0.7096
2010-04-12,-1.7614
2010-04-13,0.666
2010-04-14,1.2723
2010-04-15,0.3769
2010-04-16,-1.9024
2010-04-19,-0.6124
2010-04-20,-0.4878
2010-04-21,0.8772
2010-04-22,1.7903
2010-04-23,-0.0251
2010-04-26,2.287
2010-04-27,-1.7690000000000001
2010-04-28,2.001
2010-04-29,-0.0245
2010-04-30,-0.417
2010-05-03,2.8325
2010-05-04,-3.7605
