ticker,KRNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-24,13.9
2005-02-25,-0.7024
2005-02-28,-0.1768
2005-03-01,1.1515
2005-03-02,0.0876
2005-03-03,0.6124
2005-03-04,1.6522000000000001
2005-03-07,2.2241
2005-03-08,-0.0084
2005-03-09,-1.6654
2005-03-10,-0.9362
2005-03-11,-0.0859
2005-03-14,0.5159
2005-03-15,-0.4277
2005-03-16,-2.0619
2005-03-17,-0.7018
2005-03-18,0.7067
2005-03-21,0.1754
2005-03-22,-2.1016
2005-03-23,-0.8945
2005-03-24,0.4513
2005-03-28,0.1797
2005-03-29,3.1390000000000002
2005-03-30,-0.2609
2005-03-31,-3.0514
2005-04-01,-0.1799
2005-04-04,-0.6306
2005-04-05,0.272
2005-04-06,-1.8083
2005-04-07,-0.6906
2005-04-08,-0.7881
2005-04-11,-0.4673
2005-04-12,-2.3474
2005-04-13,-1.4423
2005-04-14,0.0
2005-04-15,-1.4634
2005-04-18,3.0693
2005-04-19,5.5716
2005-04-20,-3.3667
2005-04-21,0.8475
2005-04-22,-1.9607999999999999
2005-04-25,0.2857
2005-04-26,-1.8993
2005-04-27,0.7744
2005-04-28,-1.2488
2005-04-29,1.07
2005-05-02,1.0587
2005-05-03,-2.2857
2005-05-04,1.5594999999999999
2005-05-05,0.6718
2005-05-06,1.0486
2005-05-09,0.6604
2005-05-10,-1.3121
2005-05-11,-1.8044
2005-05-12,-0.677
2005-05-13,-0.0974
2005-05-16,1.9493
2005-05-17,1.7208
2005-05-18,1.0338
2005-05-19,-1.1163
2005-05-20,0.9407
2005-05-23,-1.2116
2005-05-24,-0.9434
2005-05-25,-0.4762
2005-05-26,0.4785
2005-05-27,0.4762
2005-05-31,-0.5687
2005-06-01,2.2879
2005-06-02,-0.3728
2005-06-03,-0.1871
2005-06-06,1.3121
2005-06-07,-1.2951
2005-06-08,-0.0937
2005-06-09,1.2195
2005-06-10,0.4634
2005-06-13,0.0923
2005-06-14,0.4608
2005-06-15,0.4587
2005-06-16,0.9132
2005-06-17,1.81
2005-06-20,0.5333
2005-06-21,2.7409
2005-06-22,1.2909
2005-06-23,-0.5098
2005-06-24,2.0495
2005-06-27,-0.7531
2005-06-28,0.3373
2005-06-29,-0.2521
2005-06-30,-0.5897
2005-07-01,0.5932
2005-07-05,0.2527
2005-07-06,-0.084
2005-07-07,0.1682
2005-07-08,0.6717
2005-07-11,1.5847
2005-07-12,-0.7389
2005-07-13,-0.7444
2005-07-14,-0.4167
