ticker,WES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-07,27.2727
2012-12-10,-0.8929
2012-12-11,0.2883
2012-12-12,0.6109
2012-12-13,-1.25
2012-12-14,-0.1808
2012-12-17,-0.5072
2012-12-18,2.8405
2012-12-19,2.5141999999999998
2012-12-20,-0.3454
2012-12-21,-1.1781
2012-12-24,-1.4385
2012-12-26,-0.6762
2012-12-27,0.3583
2012-12-28,2.7847
2012-12-31,4.0292
2013-01-02,5.7429
2013-01-03,-0.2526
2013-01-04,0.2849
2013-01-07,0.726
2013-01-08,-0.6581
2013-01-09,-0.8517
2013-01-10,0.2227
2013-01-11,0.3175
2013-01-14,-0.2215
2013-01-15,0.1903
2013-01-16,-0.8674
2013-01-17,1.2581
2013-01-18,-0.8199
2013-01-22,0.2035
2013-01-23,-1.0598
2013-01-24,0.0641
2013-01-25,-0.5769
2013-01-28,5.1902
2013-01-29,1.8082
2013-01-30,0.6498
2013-01-31,1.0778
2013-02-01,0.5924
2013-02-04,0.0883
2013-02-05,0.0
2013-02-06,-0.2354
2013-02-07,2.949
2013-02-08,-1.8906
2013-02-11,1.2263
2013-02-12,-0.4615
2013-02-13,0.2898
2013-02-14,-1.7625
2013-02-15,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,-1.2059
2013-02-22,0.6252
2013-02-25,0.3846
2013-02-26,0.2063
2013-02-27,-0.0588
2013-02-28,-0.0294
2013-03-01,-1.0009
2013-03-04,-1.8733
2013-03-05,0.303
2013-03-06,0.3927
2013-03-07,0.0301
2013-03-08,-0.4513
2013-03-11,0.4835
2013-03-12,-2.1353
2013-03-13,-0.0922
2013-03-14,-0.6152
2013-03-15,-0.3714
2013-03-18,1.8018
2013-03-19,-0.5493
2013-03-20,0.9512
2013-03-21,2.0061
2013-03-22,0.9833
2013-03-25,0.0295
2013-03-26,-0.1475
2013-03-27,-0.4431
2013-03-28,1.4125
2013-04-01,2.1184
2013-04-02,-0.4298
2013-04-03,-4.518
2013-04-04,-0.3315
2013-04-05,-1.5119
2013-04-08,1.5352000000000001
2013-04-09,1.3003
2013-04-10,-0.8358
2013-04-11,0.0301
2013-04-12,-0.1204
2013-04-15,-1.4161000000000001
2013-04-16,-0.7029
2013-04-17,2.3392
2013-04-18,0.9624
2013-04-19,1.9363000000000001
2013-04-22,1.4611
2013-04-23,-0.432
2013-04-24,-0.0868
2013-04-25,0.5501
2013-04-26,0.198
2013-04-29,2.022
2013-04-30,0.6512
2013-05-01,1.0689
