ticker,STAG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-15,-5.7692
2011-04-18,-0.8163
2011-04-19,0.2469
2011-04-20,0.2463
2011-04-21,-0.5733
2011-04-25,-1.1532
2011-04-26,4.3333
2011-04-27,0.7987
2011-04-28,-0.5547
2011-04-29,1.1952
2011-05-02,1.6535
2011-05-03,-0.3873
2011-05-04,-0.0778
2011-05-05,0.0
2011-05-06,0.3113
2011-05-09,-0.1552
2011-05-10,0.2331
2011-05-11,-0.3101
2011-05-12,0.311
2011-05-13,-1.1628
2011-05-16,1.0196
2011-05-17,-0.6988
2011-05-18,0.0
2011-05-19,0.2346
2011-05-20,-0.936
2011-05-23,-3.3071
2011-05-24,3.9901999999999997
2011-05-25,-0.9397
2011-05-26,0.1423
2011-05-27,0.2289
2011-05-31,0.0236
2011-06-01,-2.9920999999999998
2011-06-02,-0.974
2011-06-03,0.3279
2011-06-06,0.4085
2011-06-07,0.1627
2011-06-08,-0.5686
2011-06-09,0.0817
2011-06-10,0.2449
2011-06-13,0.1629
2011-06-14,-1.5447
2011-06-15,0.0
2011-06-16,0.3303
2011-06-17,0.0
2011-06-20,0.5761
2011-06-21,3.0278
2011-06-22,-0.0794
2011-06-23,-0.3975
2011-06-24,-2.3144
2011-06-27,0.1634
2011-06-28,1.4331
2011-06-29,-0.5724
2011-06-30,0.7401
2011-07-01,0.8163
2011-07-05,1.0526
2011-07-06,1.8429
2011-07-07,0.236
2011-07-08,-0.2355
2011-07-11,-0.236
2011-07-12,0.3155
2011-07-13,-0.3931
2011-07-14,-0.6314
2011-07-15,0.2383
2011-07-18,-0.7132
2011-07-19,0.3192
2011-07-20,-1.3524
2011-07-21,1.6129
2011-07-22,-1.4285999999999999
2011-07-25,0.2415
2011-07-26,0.4819
2011-07-27,-2.4779999999999998
2011-07-28,0.7377
2011-07-29,0.0
2011-08-01,-0.0814
2011-08-02,-2.2801
2011-08-03,-2.0
2011-08-04,-8.6735
2011-08-05,2.0484
2011-08-08,-11.3139
2011-08-09,6.3786
2011-08-10,-4.1586
2011-08-11,4.5409
2011-08-12,-3.668
2011-08-15,1.6032
2011-08-16,3.3531
2011-08-17,0.0954
2011-08-18,-1.5253
2011-08-19,-0.9681
2011-08-22,-1.4663
2011-08-23,4.4643
2011-08-24,0.0
2011-08-25,-2.5641
2011-08-26,2.8265000000000002
2011-08-29,1.327
2011-08-30,-0.1871
2011-08-31,0.8435
2011-09-01,-1.1152
2011-09-02,-3.7594
2011-09-06,0.8789
