ticker,WDAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-12,73.8929
2012-10-15,6.6749
2012-10-16,0.4236
2012-10-17,6.2308
2012-10-18,-3.5914
2012-10-19,3.4257
2012-10-22,0.2715
2012-10-23,-1.8412
2012-10-24,-4.1559
2012-10-25,-5.5257
2012-10-26,1.5434999999999999
2012-10-31,-3.0
2012-11-01,0.866
2012-11-02,-0.8177
2012-11-05,2.803
2012-11-06,-2.6864
2012-11-07,-0.9683
2012-11-08,2.0387
2012-11-09,-2.1407
2012-11-12,-2.1042
2012-11-13,0.0
2012-11-14,0.83
2012-11-15,1.1819
2012-11-16,1.8982
2012-11-19,1.5558
2012-11-20,2.2173
2012-11-21,2.4453
2012-11-23,-2.2329
2012-11-26,0.0591
2012-11-27,2.0268
2012-11-28,2.5844
2012-11-29,-2.8013
2012-11-30,-3.0948
2012-12-03,0.0
2012-12-04,-0.7984
2012-12-05,-2.8169
2012-12-06,0.207
2012-12-07,5.7851
2012-12-10,0.5859
2012-12-11,0.3689
2012-12-12,-0.561
2012-12-13,-2.1984
2012-12-14,0.4177
2012-12-17,0.9113
2012-12-18,4.8096
2012-12-19,3.259
2012-12-20,1.8683
2012-12-21,-0.3739
2012-12-24,0.3932
2012-12-26,-2.9196999999999997
2012-12-27,-0.9719
2012-12-28,-0.8519
2012-12-31,1.7931
2013-01-02,-2.9173999999999998
2013-01-03,-1.1529
2013-01-04,-0.2103
2013-01-07,-0.0383
2013-01-08,-0.575
2013-01-09,1.6965
2013-01-10,0.8531
2013-01-11,-0.7707
2013-01-14,-2.8983
2013-01-15,-0.4292
2013-01-16,0.9992
2013-01-17,-1.1639
2013-01-18,-1.0991
2013-01-22,0.4763
2013-01-23,2.5676
2013-01-24,2.3686
2013-01-25,2.3138
2013-01-28,3.8794
2013-01-29,-1.0088
2013-01-30,-4.8096
2013-01-31,0.3381
2013-02-01,0.1872
2013-02-04,-1.7003
2013-02-05,-1.1405
2013-02-06,-0.0385
2013-02-07,-1.7503
2013-02-08,-0.4111
2013-02-11,0.0197
2013-02-12,1.3168
2013-02-13,-0.0194
2013-02-14,-1.0477
2013-02-15,-1.098
2013-02-19,1.8437999999999999
2013-02-20,5.7232
2013-02-21,1.5283
2013-02-22,0.1995
2013-02-25,1.3394
2013-02-26,-0.5894
2013-02-27,0.4312
2013-02-28,-1.0912
2013-03-01,4.2141
2013-03-04,7.1156
2013-03-05,3.5807
2013-03-06,0.9542
2013-03-07,-4.5088
2013-03-08,1.4117
