ticker,BWAV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-01,-4.2553
2006-11-02,1.1111
2006-11-03,-2.8571
2006-11-06,-6.1086
2006-11-07,2.8916
2006-11-08,-7.4940999999999995
2006-11-09,2.5316
2006-11-10,-2.4691
2006-11-13,-2.5316
2006-11-14,-5.1948
2006-11-15,3.0103
2006-11-16,1.0672
2006-11-17,5.5263
2006-11-20,-6.4838000000000005
2006-11-21,0.0
2006-11-22,-2.9333
2006-11-24,-6.044
2006-11-27,-13.7427
2006-11-28,-15.2542
2006-11-29,10.4
2006-11-30,21.3768
2006-12-01,22.3881
2006-12-04,6.5854
2006-12-05,-7.3227
2006-12-06,-6.1728
2006-12-07,-5.2632
2006-12-08,-0.8333
2006-12-11,-13.1653
2006-12-12,0.0
2006-12-13,12.2581
2006-12-14,-8.046
2006-12-15,7.5
2006-12-18,-10.4651
2006-12-19,-4.2208
2006-12-20,-2.0339
2006-12-21,3.8062
2006-12-22,10.0
2006-12-26,5.1515
2006-12-27,-3.4582
2006-12-28,4.4776
2006-12-29,12.0
2007-01-03,-5.3571
2007-01-04,6.469
2007-01-05,-2.0253
2007-01-08,-1.8088
2007-01-09,-1.3158
2007-01-10,-1.3333
2007-01-11,1.3514
2007-01-12,2.4
2007-01-16,4.1667
2007-01-17,8.75
2007-01-18,-4.5977
2007-01-19,10.6024
2007-01-22,-5.6645
2007-01-23,7.6212
2007-01-24,7.2961
2007-01-25,-6.0
2007-01-26,12.1277
2007-01-29,6.2619
2007-01-30,-3.0357
2007-01-31,6.6298
2007-02-01,-2.9361
2007-02-02,1.4235
2007-02-05,-7.5439
2007-02-06,-4.1746
2007-02-07,8.9109
2007-02-08,2.3636
2007-02-09,3.9076
2007-02-12,1.7094
2007-02-13,-10.084
2007-02-14,1.1215
2007-02-15,1.6636
2007-02-16,4.5455
2007-02-20,-10.2609
2007-02-21,5.6202
2007-02-22,-1.8349
2007-02-23,0.0
2007-02-26,-12.1495
2007-02-27,-6.1702
2007-02-28,14.5125
2007-03-01,0.9901
2007-03-02,-11.5686
2007-03-05,-9.0909
2007-03-06,7.561
2007-03-07,3.4013999999999998
2007-03-08,6.3596
2007-03-09,0.0
2007-03-12,-6.1856
2007-03-13,-0.2198
2007-03-14,-1.1013
2007-03-15,2.4499
2007-03-16,-3.2609
2007-03-19,1.1236
2007-03-20,-3.3333
2007-03-21,2.2989
2007-03-22,1.1236
2007-03-23,-0.8889
2007-03-26,-4.7085
2007-03-27,-0.4706
