ticker,YELP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-02,63.8667
2012-03-05,-14.6054
2012-03-06,-2.3344
2012-03-07,-1.2195
2012-03-08,-1.2346
2012-03-09,-1.0
2012-03-12,13.5859
2012-03-13,3.6016
2012-03-14,-4.206
2012-03-15,-2.5538
2012-03-16,-0.046
2012-03-19,5.7498000000000005
2012-03-20,-0.3915
2012-03-21,0.9607
2012-03-22,0.4325
2012-03-23,-0.1723
2012-03-26,6.126
2012-03-27,12.3984
2012-03-28,1.5913
2012-03-29,-0.2848
2012-03-30,-3.9986
2012-04-02,0.8553
2012-04-03,-1.5487
2012-04-04,-2.0225
2012-04-05,-7.607
2012-04-09,4.3442
2012-04-10,2.3394
2012-04-11,-1.4723
2012-04-12,3.0279
2012-04-13,0.4962
2012-04-16,-1.7471
2012-04-17,-1.1596
2012-04-18,-2.2683
2012-04-19,-2.8811999999999998
2012-04-20,-4.8208
2012-04-23,-3.5930999999999997
2012-04-24,-4.8945
2012-04-25,-0.2361
2012-04-26,0.3313
2012-04-27,3.3019
2012-04-30,4.3836
2012-05-01,-1.2686
2012-05-02,2.6141
2012-05-03,-10.8808
2012-05-04,3.1977
2012-05-07,0.5164
2012-05-08,-2.8024
2012-05-09,0.8169
2012-05-10,-4.4328
2012-05-11,1.0973
2012-05-14,-1.1347
2012-05-15,3.7923999999999998
2012-05-16,3.8462
2012-05-17,-1.5278
2012-05-18,-12.3648
2012-05-21,3.5408
2012-05-22,-6.7358
2012-05-23,1.7778
2012-05-24,3.1114
2012-05-25,-3.7057
2012-05-29,-6.1572
2012-05-30,-2.6948
2012-05-31,0.602
2012-06-01,-6.1041
2012-06-04,-2.9955
2012-06-05,0.0
2012-06-06,8.1472
2012-06-07,6.4399
2012-06-08,12.1005
2012-06-11,-4.0224
2012-06-12,4.244
2012-06-13,0.6616
2012-06-14,0.3539
2012-06-15,6.4484
2012-06-18,0.0947
2012-06-19,1.1348
2012-06-20,-1.496
2012-06-21,-0.3322
2012-06-22,3.0476
2012-06-25,1.4325
2012-06-26,0.41
2012-06-27,3.4029
2012-06-28,-1.2286
2012-06-29,0.9773
2012-07-02,4.4435
2012-07-03,4.1281
2012-07-05,5.8252
2012-07-06,-3.2875
2012-07-09,-2.0158
2012-07-10,-8.7132
2012-07-11,-5.612
2012-07-12,3.6517
2012-07-13,-2.2584
2012-07-16,-0.9704
2012-07-17,7.4195
2012-07-18,-1.3901
2012-07-19,5.7269
2012-07-20,0.2083
