ticker,CEVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-04,-3.0361
2002-11-05,-9.9804
2002-11-06,3.0217
2002-11-07,-1.8780000000000001
2002-11-08,-1.2903
2002-11-11,-2.6144
2002-11-12,2.9083
2002-11-13,11.3043
2002-11-14,5.6641
2002-11-15,7.7634
2002-11-18,2.7443999999999997
2002-11-19,-1.5025
2002-11-20,-3.3898
2002-11-21,8.4211
2002-11-22,9.7087
2002-11-25,3.2448
2002-11-26,-2.4286
2002-11-27,2.1962
2002-11-29,0.4298
2002-12-02,-2.2824999999999998
2002-12-03,-2.9196999999999997
2002-12-04,-1.6692
2002-12-05,-5.1843
2002-12-06,2.4032
2002-12-09,-2.1893
2002-12-10,2.2383
2002-12-11,-1.5593
2002-12-12,-0.96
2002-12-13,-1.454
2002-12-16,-0.3279
2002-12-17,-0.6579
2002-12-18,-0.6788
2002-12-19,2.5171
2002-12-20,-1.1381999999999999
2002-12-23,-1.3322
2002-12-24,-0.8168
2002-12-26,-2.1849
2002-12-27,2.9038
2002-12-30,0.1837
2002-12-31,-1.5
2003-01-02,-0.3384
2003-01-03,-0.017
2003-01-06,-12.5488
2003-01-07,-0.1942
2003-01-08,-0.9728
2003-01-09,-1.9646
2003-01-10,1.2024
2003-01-13,-5.1485
2003-01-14,0.2088
2003-01-15,1.0417
2003-01-16,-11.567
2003-01-17,0.9559
2003-01-21,0.2309
2003-01-22,-5.53
2003-01-23,4.3659
2003-01-24,-3.0147
2003-01-27,1.8072
2003-01-28,0.5917
2003-01-29,0.0
2003-01-30,-1.4118
2003-01-31,0.2387
2003-02-03,1.4285999999999999
2003-02-04,-6.5728
2003-02-05,0.5025
2003-02-06,-4.5
2003-02-07,-0.5236
2003-02-10,-10.2632
2003-02-11,-1.7595
2003-02-12,-7.4627
2003-02-13,-1.9355
2003-02-14,-0.6579
2003-02-18,3.6424
2003-02-19,-0.9585
2003-02-20,0.6452
2003-02-21,17.9487
2003-02-24,-7.0652
2003-02-25,-0.5848
2003-02-26,-0.2941
2003-02-27,-1.1799
2003-02-28,-1.4925
2003-03-03,-3.3333
2003-03-04,-5.9248
2003-03-05,3.2989
2003-03-06,-2.9032
2003-03-07,4.0199
2003-03-10,1.565
2003-03-11,-3.1447
2003-03-12,-2.5974
2003-03-13,1.0
2003-03-14,0.9901
2003-03-17,2.2876
2003-03-18,-2.2045
2003-03-19,0.294
2003-03-20,0.0
2003-03-21,-0.3257
2003-03-24,0.0
2003-03-25,-3.5948
