ticker,FCNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-29,13.0435
2008-03-03,7.6923
2008-03-04,7.1429
2008-03-05,0.0
2008-03-06,-16.6667
2008-03-07,-4.0
2008-03-10,0.0
2008-03-11,0.0
2008-03-12,0.0
2008-03-14,0.0
2008-03-19,-4.1667
2008-03-24,-10.4348
2008-03-25,-0.9709
2008-03-26,0.0
2008-03-27,-0.9804
2008-03-28,0.9901
2008-03-31,-1.9607999999999999
2008-04-01,0.0
2008-04-02,-1.0
2008-04-03,1.0101
2008-04-04,2.0
2008-04-07,-0.1961
2008-04-08,3.1434
2008-04-09,-2.8571
2008-04-16,-0.9804
2008-04-17,-0.396
2008-04-21,4.3738
2008-04-22,2.8571
2008-04-23,3.7037
2008-04-24,0.0
2008-04-25,-1.7856999999999998
2008-04-28,0.0
2008-05-13,-6.7273
2008-05-19,-0.5848
2008-05-21,-21.5686
2008-05-27,-45.0
2008-05-29,-39.5455
2008-05-30,-27.0677
2008-06-02,8.2474
2008-06-03,0.0
2008-06-10,9.5238
2008-06-19,-12.1739
2008-07-25,-15.8416
2008-07-31,0.0
2008-08-04,0.0
2008-08-07,3.5294
2008-08-08,13.6364
2008-08-20,0.0
2008-08-27,0.0
2008-09-08,0.0
2008-09-09,15.0
2008-09-18,-47.8261
2008-09-19,33.3333
2008-09-23,-36.25
2008-09-25,1.9607999999999999
2008-09-29,53.8462
2008-10-02,22.5
2008-10-06,-44.898
2008-10-07,0.0
2008-10-08,48.1481
2008-10-10,-37.5
2008-10-13,2.0
2008-10-15,86.2745
2008-10-17,-52.6316
2008-10-21,-13.3333
2008-10-22,-10.2564
2008-10-23,-14.2857
2008-10-24,0.0
2008-11-04,216.6667
2008-11-17,-58.9474
2008-11-18,0.0
2008-11-19,0.0
2008-11-24,-23.0769
2008-12-01,-16.6667
2008-12-04,-12.0
2008-12-09,36.3636
2008-12-10,0.0
2008-12-11,26.6667
2008-12-16,5.2632
2008-12-23,-65.0
2008-12-24,-28.5714
2008-12-26,-20.0
2008-12-30,12.5
2008-12-31,44.4444
2009-01-02,-15.3846
2009-01-06,0.0
2009-01-07,27.2727
2009-01-08,28.5714
2009-01-09,38.8889
2009-01-14,-36.0
2009-01-15,0.0
2009-01-21,0.0
2009-01-26,50.0
2009-01-28,0.0
2009-03-12,-33.3333
2009-03-16,0.0
2009-03-31,50.0
2009-04-01,0.0
2009-04-20,-33.3333
2009-04-22,25.0
2009-04-23,-20.0
2009-04-28,0.0
