ticker,ITCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-31,100.0
2014-01-02,0.0
2014-01-03,-25.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,13.3333
2014-01-09,2.9412000000000003
2014-01-10,2.8571
2014-01-13,1.1111
2014-01-14,-0.5495
2014-01-15,0.5525
2014-01-16,0.6044
2014-01-17,3.7683999999999997
2014-01-21,5.2632
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,-1.0
2014-01-27,-4.0404
2014-01-28,0.0
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,2.1053
2014-02-03,3.0928
2014-02-04,-5.0
2014-02-05,-2.8421
2014-02-06,-8.5049
2014-02-07,-0.5625
2014-02-10,1.1015
2014-02-11,-1.2367
2014-02-12,1.3119
2014-02-13,0.0
2014-02-14,-1.1183
2014-02-18,0.4762
2014-02-19,-0.5924
2014-02-20,-2.8605
2014-02-21,-0.3681
2014-02-24,3.2635
2014-02-25,-0.5963
2014-02-26,-1.0798
2014-02-27,0.6064
2014-02-28,-2.17
2014-03-03,4.6211
2014-03-04,3.6513999999999998
2014-03-05,-0.9091
2014-03-06,4.9312000000000005
2014-03-07,4.4809
2014-03-10,2.4582
2014-03-11,2.5523
2014-03-12,0.7964
2014-03-13,0.0
2014-03-14,-1.2346
2014-03-17,-8.6
2014-03-18,6.1269
2014-03-19,-0.0515
2014-03-20,2.0113
2014-03-21,-6.1678
2014-03-24,2.2629
2014-03-25,-1.3172
2014-03-26,-4.3246
2014-03-27,4.3527000000000005
2014-03-28,-0.5882
2014-03-31,-2.2055
2014-04-01,4.5105
2014-04-02,0.0
2014-04-03,-3.0526
2014-04-04,-7.4376
2014-04-07,2.5806
2014-04-08,-5.6604
2014-04-09,11.2727
2014-04-10,-0.5447
2014-04-11,-4.2169
2014-04-14,-3.5449
2014-04-15,-3.9123
2014-04-16,-3.0228
2014-04-17,2.7354000000000003
2014-04-21,-0.3096
2014-04-22,-2.0497
2014-04-23,3.0438
2014-04-24,0.3692
2014-04-25,-0.5518
2014-04-28,4.5006
2014-04-29,-2.4189
2014-04-30,0.9674
2014-05-01,-1.1976
2014-05-02,-2.5455
2014-05-05,-3.1095
2014-05-06,1.0911
2014-05-07,-2.0952
2014-05-08,5.5123
2014-05-09,-1.9668
2014-05-12,-0.9404
2014-05-13,-2.8481
2014-05-14,2.7362
2014-05-15,1.1414
2014-05-16,-0.8777
2014-05-19,-1.6444999999999999
2014-05-20,-3.3441
2014-05-21,-1.0645
