ticker,ESPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-26,3.5714
2013-06-27,-3.4483
2013-06-28,0.7143
2013-07-01,-0.6383
2013-07-02,3.9971
2013-07-03,0.2745
2013-07-05,-0.2053
2013-07-08,2.4691
2013-07-09,5.087
2013-07-10,2.2293
2013-07-11,4.2368
2013-07-12,1.9127
2013-07-15,0.9384
2013-07-16,0.5811
2013-07-17,-0.9243
2013-07-18,0.758
2013-07-19,-2.1991
2013-07-22,0.8876
2013-07-23,0.3519
2013-07-24,-0.8767
2013-07-25,-1.0613
2013-07-26,1.7282
2013-07-29,1.9918
2013-07-30,1.3785
2013-07-31,1.0765
2013-08-01,-0.2803
2013-08-02,2.5857
2013-08-05,1.0411
2013-08-06,-1.5727
2013-08-07,-2.314
2013-08-08,-2.8201
2013-08-09,-3.1341
2013-08-12,3.2355
2013-08-13,1.2187999999999999
2013-08-14,0.2294
2013-08-15,-2.4027
2013-08-16,1.0551
2013-08-19,-1.7981
2013-08-20,-0.1772
2013-08-21,-1.5385
2013-08-22,1.863
2013-08-23,-0.885
2013-08-26,1.1905000000000001
2013-08-27,-1.4118
2013-08-28,0.2983
2013-08-29,0.3569
2013-08-30,-4.4458
2013-09-03,1.737
2013-09-04,-5.8537
2013-09-05,-1.101
2013-09-06,0.8513
2013-09-09,-2.6623
2013-09-10,-0.1334
2013-09-11,3.34
2013-09-12,0.8403
2013-09-13,6.3462
2013-09-16,0.7836
2013-09-17,0.5981
2013-09-18,0.9512
2013-09-19,-0.9423
2013-09-20,-0.654
2013-09-23,5.6254
2013-09-24,2.8895
2013-09-25,0.3855
2013-09-26,3.5107
2013-09-27,-0.9009
2013-09-30,0.8556
2013-10-01,0.053
2013-10-02,0.106
2013-10-03,-0.6882
2013-10-04,-0.7996
2013-10-07,-2.3643
2013-10-08,-3.7424
2013-10-09,-5.8891
2013-10-10,0.243
2013-10-11,1.1515
2013-10-14,-0.0599
2013-10-15,-0.2998
2013-10-16,4.3897
2013-10-17,-0.0576
2013-10-18,-0.8646
2013-10-21,-3.9535
2013-10-22,0.3027
2013-10-23,-5.4919
2013-10-24,-0.3193
2013-10-25,-3.0109
2013-10-28,3.5007
2013-10-29,0.7658
2013-10-30,-0.2533
2013-10-31,-0.5079
2013-11-01,-4.9138
2013-11-04,0.8725
2013-11-05,-0.1331
2013-11-06,-1.5989
2013-11-07,-1.7603
2013-11-08,2.3432
2013-11-11,-0.8081
2013-11-12,-1.9687999999999999
2013-11-13,-5.6094
