ticker,CTDT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-07,0.0
2012-05-08,-45.3333
2012-05-09,82.9268
2012-05-14,-40.0
2012-06-12,93.3333
2012-06-13,-8.046
2012-06-14,18.75
2012-06-15,-26.3158
2012-06-18,14.2857
2012-06-19,0.0
2012-06-20,-55.625
2012-06-21,5.6338
2012-06-22,-12.0
2012-06-25,1.5152
2012-06-26,-1.4925
2012-06-27,1.5152
2012-06-28,-8.9552
2012-06-29,11.4754
2012-07-02,4.4118
2012-07-03,-43.662
2012-07-05,-33.5
2012-07-06,-28.5714
2012-07-09,110.5263
2012-07-10,47.5
2012-07-11,-9.1525
2012-07-12,19.403
2012-07-13,6.25
2012-07-16,1.9118
2012-07-17,-7.6479
2012-07-18,-56.25
2012-07-19,-33.5714
2012-07-20,-55.914
2012-07-23,-48.4756
2012-07-24,12.7219
2012-07-25,2.8871
2012-07-26,-2.0408
2012-07-27,-20.8333
2012-07-30,2.6316
2012-07-31,2.5641
2012-08-01,-5.0
2012-08-02,2.6316
2012-08-03,-7.0513
2012-08-06,21.3793
2012-08-07,-18.1818
2012-08-08,105.5556
2012-08-09,51.3514
2012-08-10,-17.8571
2012-08-13,19.5652
2012-08-14,9.0909
2012-08-15,-18.3333
2012-08-16,-24.4898
2012-08-17,-5.4054
2012-08-20,14.2857
2012-08-21,-2.5
2012-08-22,-22.5962
2012-08-23,-3.9337
2012-08-24,10.3448
2012-08-27,-3.125
2012-08-28,27.4194
2012-08-29,-18.9873
2012-08-30,7.8125
2012-08-31,-4.3478
2012-09-04,0.0
2012-09-05,3.0303
2012-09-06,-2.9412000000000003
2012-09-07,-12.1212
2012-09-10,3.4483
2012-09-11,-6.6667
2012-09-12,39.2857
2012-09-13,-5.1282
2012-09-14,-24.3243
2012-09-17,16.0714
2012-09-18,-13.8462
2012-09-19,-3.5714
2012-09-20,-7.4074
2012-09-21,4.0
2012-09-24,-1.9231
2012-09-25,0.0
2012-09-26,-17.647100000000002
2012-09-27,41.9643
2012-09-28,0.6289
2012-10-01,0.0
2012-10-02,-3.9583
2012-10-03,-13.2321
2012-10-04,15.5
2012-10-05,-3.0303
2012-10-08,0.0
2012-10-09,-11.1607
2012-10-10,12.5628
2012-10-11,-17.4107
2012-10-12,8.1081
2012-10-15,-4.0
2012-10-16,4.1667
2012-10-17,20.0
2012-10-18,8.3333
2012-10-19,6.1538
2012-10-22,-7.2464
2012-10-23,18.75
2012-10-24,-5.2632
2012-10-25,-2.7778
