ticker,OVV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-08-22,1.5948
2001-08-23,0.7213
2001-08-24,2.5695
2001-08-27,-2.0534
2001-08-28,-1.0901
2001-08-29,0.1696
2001-08-30,-0.5925
2001-08-31,0.4683
2001-09-04,6.0169
2001-09-05,4.4764
2001-09-06,1.798
2001-09-07,2.593
2001-09-10,1.9048
2001-09-17,-1.7612999999999999
2001-09-18,-6.33
2001-09-19,-2.9688
2001-09-20,-5.314
2001-09-21,6.0799
2001-09-24,-3.4068
2001-09-25,-0.8714
2001-09-26,-0.5023
2001-09-27,-1.5145
2001-09-28,2.5202999999999998
2001-10-01,-3.75
2001-10-02,-0.2165
2001-10-03,5.1627
2001-10-04,3.5479000000000003
2001-10-05,-1.5936
2001-10-08,1.5385
2001-10-09,6.0606
2001-10-10,4.7744
2001-10-11,0.9329
2001-10-12,-1.9197
2001-10-15,-1.5948
2001-10-16,-1.4365
2001-10-17,-2.6158
2001-10-18,-1.3814
2001-10-19,1.9066
2001-10-22,0.1145
2001-10-23,-0.7246
2001-10-24,0.0384
2001-10-25,2.9186
2001-10-26,2.9478
2001-10-29,1.3048
2001-10-30,-2.1467
2001-10-31,1.2797
2001-11-01,-0.9025
2001-11-02,2.4044
2001-11-05,-1.6720000000000002
2001-11-06,-2.6773
2001-11-07,-2.2305
2001-11-08,1.1027
2001-11-09,1.2035
2001-11-12,0.3344
2001-11-13,0.0
2001-11-14,-3.4815
2001-11-15,-7.4444
2001-11-16,2.4046
2001-11-19,-0.8502
2001-11-20,1.3475
2001-11-21,0.7252
2001-11-23,-1.6
2001-11-26,0.813
2001-11-27,1.2097
2001-11-28,-0.3984
2001-11-29,2.4
2001-11-30,0.0
2001-12-03,0.0
2001-12-04,-0.6641
2001-12-05,0.9831
2001-12-06,-1.2326
2001-12-07,-0.6324
2001-12-10,0.4773
2001-12-11,-2.019
2001-12-12,-1.7778
2001-12-13,-2.2624
2001-12-14,2.0623
2001-12-17,-0.3711
2001-12-18,0.4139
2001-12-19,3.38
2001-12-20,0.8772
2001-12-21,0.8696
2001-12-24,-0.3527
2001-12-26,1.9268999999999998
2001-12-27,-1.659
2001-12-28,0.3923
2001-12-31,1.6021999999999998
2002-01-02,-3.1154
2002-01-03,-0.6352
2002-01-04,-0.1199
2002-01-07,-1.24
2002-01-08,-0.405
2002-01-09,-0.4067
2002-01-10,-1.1025
2002-01-11,1.8167
2002-01-14,-2.8386
2002-01-15,-0.1252
2002-01-16,-1.6298
