ticker,CPTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-25,-6.0
2013-09-26,1.8617
2013-09-27,-0.5222
2013-09-30,0.7874
2013-10-01,-1.3021
2013-10-02,-1.2137
2013-10-03,-2.5107
2013-10-04,-1.6438000000000001
2013-10-07,2.0056
2013-10-08,-0.1638
2013-10-09,1.4769999999999999
2013-10-10,-0.2695
2013-10-11,-0.5405
2013-10-14,0.6522
2013-10-15,-1.6739000000000002
2013-10-16,-0.8237
2013-10-17,3.9867
2013-10-18,-0.7987
2013-10-21,3.1133
2013-10-22,-0.5206
2013-10-23,0.7326
2013-10-24,-0.7273
2013-10-25,0.6803
2013-10-28,0.6237
2013-10-29,1.2397
2013-10-30,-2.2959
2013-10-31,-1.5666
2013-11-01,0.7958
2013-11-04,0.0526
2013-11-05,0.0
2013-11-06,1.0521
2013-11-07,-2.7069
2013-11-08,4.2804
2013-11-11,-0.4618
2013-11-12,-2.0619
2013-11-13,0.7895
2013-11-14,0.2611
2013-11-15,-0.7813
2013-11-18,-0.2625
2013-11-19,1.0
2013-11-20,-0.2091
2013-11-21,1.3054999999999999
2013-11-22,0.0006
2013-11-25,0.5155
2013-11-26,0.1538
2013-11-27,1.3313
2013-11-29,0.5053
2013-12-02,0.0503
2013-12-03,0.0
2013-12-04,-0.5528
2013-12-05,0.3032
2013-12-06,2.1159
2013-12-09,-0.6566
2013-12-10,-0.9659
2013-12-11,0.5133
2013-12-12,1.0725
2013-12-13,-0.1516
2013-12-16,0.1518
2013-12-17,-0.2021
2013-12-18,0.2025
2013-12-19,-1.2127
2013-12-20,3.3247999999999998
2013-12-23,-0.9901
2013-12-24,-1.0
2013-12-26,0.7071
2013-12-27,-0.9027
2013-12-30,-0.7591
2013-12-31,1.4788000000000001
2014-01-02,-2.7136
2014-01-03,-0.4649
2014-01-06,2.9061
2014-01-07,0.8069
2014-01-08,0.0
2014-01-09,0.2501
2014-01-10,-0.1996
2014-01-13,0.0
2014-01-14,0.5
2014-01-15,0.4975
2014-01-16,-0.6931
2014-01-17,-0.2493
2014-01-21,0.6997
2014-01-22,-0.3474
2014-01-23,-2.7888
2014-01-24,3.1762
2014-01-27,-2.0854
2014-01-28,-0.6085
2014-01-29,0.7143
2014-01-30,1.3678
2014-01-31,-1.1494
2014-02-03,-0.9606
2014-02-04,1.5314
2014-02-05,-3.268
2014-02-06,3.0665
2014-02-07,-0.2017
2014-02-10,0.758
2014-02-11,-1.1033
2014-02-12,0.355
2014-02-13,1.0611
