ticker,SFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-15,15.2893
2004-06-16,1.4337
2004-06-17,3.5336
2004-06-18,-8.1911
2004-06-21,-2.7509
2004-06-22,0.1529
2004-06-23,8.7023
2004-06-24,6.25
2004-06-25,2.0833
2004-06-28,2.0408
2004-06-29,-2.9677
2004-06-30,-0.5984
2004-07-01,-0.6689
2004-07-02,-3.0303
2004-07-06,2.7778
2004-07-07,-0.1351
2004-07-08,1.8268
2004-07-09,6.5116
2004-07-12,-0.4991
2004-07-13,-2.6332
2004-07-14,0.1932
2004-07-15,-0.0643
2004-07-16,1.2862
2004-07-19,0.6349
2004-07-20,3.1546
2004-07-21,3.9755000000000003
2004-07-22,0.5882
2004-07-23,-1.6959
2004-07-26,-5.4134
2004-07-27,1.5723
2004-07-28,1.2384
2004-07-29,0.6116
2004-07-30,0.9726
2004-08-02,-0.8429
2004-08-03,-2.5501
2004-08-04,1.8692
2004-08-05,-3.6696999999999997
2004-08-06,1.2063
2004-08-09,1.8193000000000001
2004-08-10,0.6161
2004-08-11,-0.7961
2004-08-12,-1.6667
2004-08-13,-0.6277
2004-08-16,2.3373
2004-08-17,2.4074
2004-08-18,0.4822
2004-08-19,3.4793
2004-08-20,1.1594
2004-08-23,4.298
2004-08-24,-0.6044
2004-08-25,-0.995
2004-08-26,-0.5025
2004-08-27,0.7441
2004-08-30,0.2273
2004-08-31,-0.7937
2004-09-01,0.0571
2004-09-02,2.7984
2004-09-03,1.1111
2004-09-07,-2.7473
2004-09-08,-1.2429000000000001
2004-09-09,2.1167
2004-09-10,-1.9607999999999999
2004-09-13,0.8571
2004-09-14,0.9632
2004-09-15,1.908
2004-09-16,2.2577
2004-09-17,3.1233
2004-09-20,4.6475
2004-09-21,6.5369
2004-09-22,2.4356
2004-09-23,-3.6123
2004-09-24,1.518
2004-09-27,-2.4299
2004-09-28,-3.0172
2004-09-29,-2.716
2004-09-30,2.0305
2004-10-01,4.4279
2004-10-04,5.7646
2004-10-05,1.5766
2004-10-06,4.612
2004-10-07,0.8902
2004-10-08,1.8908
2004-10-11,-5.1134
2004-10-12,-9.1699
2004-10-13,-4.5455
2004-10-14,5.2632
2004-10-15,1.8094999999999999
2004-10-18,-1.5434999999999999
2004-10-19,-2.6128
2004-10-20,-0.6341
2004-10-21,4.0255
2004-10-22,-1.6045
2004-10-25,-2.542
2004-10-26,2.3622
2004-10-27,-4.375
2004-10-28,-3.3685
2004-10-29,4.5786
2004-11-01,0.0995
