ticker,COUP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-06,84.8889
2016-10-07,-10.7873
2016-10-10,-5.1533
2016-10-11,-1.4915
2016-10-12,5.4434000000000005
2016-10-13,4.3761
2016-10-14,-4.9132
2016-10-17,-5.5115
2016-10-18,-0.9479
2016-10-19,-2.65
2016-10-20,-2.5331
2016-10-21,-1.8618999999999999
2016-10-24,5.9684
2016-10-25,0.7087
2016-10-26,-0.8148
2016-10-27,-3.286
2016-10-28,-2.2394
2016-10-31,-1.2638
2016-11-01,-0.08
2016-11-02,0.5204
2016-11-03,-0.1991
2016-11-04,0.7981
2016-11-07,1.2668
2016-11-08,-1.0946
2016-11-09,0.751
2016-11-10,1.1769
2016-11-11,1.9775
2016-11-14,5.3992
2016-11-15,2.0924
2016-11-16,4.2403
2016-11-17,0.4746
2016-11-18,-0.4386
2016-11-21,6.574
2016-11-22,-0.0954
2016-11-23,2.6416
2016-11-25,1.8295
2016-11-28,-4.659
2016-11-29,1.9483000000000001
2016-11-30,-0.5639
2016-12-01,-12.4764
2016-12-02,-5.3636
2016-12-05,-1.027
2016-12-06,6.6103
2016-12-07,-1.7664
2016-12-08,-3.7431
2016-12-09,-0.4956
2016-12-12,0.1916
2016-12-13,0.5736
2016-12-14,-3.2319
2016-12-15,3.4577999999999998
2016-12-16,0.2659
2016-12-19,-0.0758
2016-12-20,-4.2456
2016-12-21,-0.3563
2016-12-22,-0.5165
2016-12-23,1.5974
2016-12-27,1.4544000000000001
2016-12-28,-1.2011
2016-12-29,-0.2353
2016-12-30,-1.6903000000000001
2017-01-03,-1.5594000000000001
2017-01-04,-0.4468
2017-01-05,-1.7544
2017-01-06,0.2076
2017-01-09,-0.9117
2017-01-10,3.7223
2017-01-11,2.9839
2017-01-12,-2.6625
2017-01-13,2.3733
2017-01-17,-1.7682
2017-01-18,0.64
2017-01-19,0.6757
2017-01-20,-0.8685
2017-01-23,-0.4381
2017-01-24,-0.12
2017-01-25,5.4065
2017-01-26,-1.8237
2017-01-27,2.0511
2017-01-30,-0.493
2017-01-31,-0.9527
2017-02-01,-1.693
2017-02-02,0.4697
2017-02-03,1.3635
2017-02-06,0.0384
2017-02-07,-0.1153
2017-02-08,-0.9231
2017-02-09,0.9317
2017-02-10,0.9615
2017-02-13,-1.1048
2017-02-14,-0.1541
2017-02-15,1.1574
2017-02-16,-0.7628
2017-02-17,4.3812
2017-02-21,6.9956
2017-02-22,-3.0626
2017-02-23,-3.7274000000000003
2017-02-24,-2.7286
