ticker,LONEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-06,85.5639
2016-07-07,-0.3241
2016-07-08,6.9919
2016-07-11,1.25
2016-07-12,-14.2182
2016-07-13,4.9869
2016-07-14,-3.6667
2016-07-15,7.2664
2016-07-18,-3.2248
2016-07-19,-2.501
2016-07-20,-2.9915000000000003
2016-07-21,-0.4405
2016-07-22,-2.2124
2016-07-25,-6.7873
2016-07-26,-1.9417
2016-07-27,-4.9505
2016-07-28,-1.5625
2016-07-29,-2.1177
2016-08-01,-6.5933
2016-08-02,0.6959
2016-08-03,-5.9496
2016-08-04,6.52
2016-08-05,-2.4782
2016-08-08,7.8353
2016-08-09,2.7711
2016-08-10,-0.4246
2016-08-11,3.1983
2016-08-12,0.1033
2016-08-15,0.6192
2016-08-16,-1.641
2016-08-17,-5.8394
2016-08-18,-0.8859
2016-08-19,-1.8994
2016-08-22,1.7084000000000001
2016-08-23,-3.6954000000000002
2016-08-24,-2.907
2016-08-25,-3.3533
2016-08-26,-0.8674
2016-08-29,-2.0
2016-08-30,-5.6122
2016-08-31,0.5405
2016-09-01,-4.0323
2016-09-02,9.943999999999999
2016-09-06,19.1083
2016-09-07,23.1016
2016-09-08,4.2572
2016-09-09,-0.9167
2016-09-12,7.4853
2016-09-13,-3.5211
2016-09-14,-1.8654
2016-09-15,-0.6612
2016-09-16,-0.9983
2016-09-19,-4.6218
2016-09-20,-13.5683
2016-09-21,5.5046
2016-09-22,2.4154999999999998
2016-09-23,-2.5472
2016-09-26,2.0329
2016-09-27,-4.649
2016-09-28,2.3881
2016-09-29,0.5831
2016-09-30,-1.4493
2016-10-03,-0.7843
2016-10-04,-1.6798
2016-10-05,3.2161
2016-10-06,-1.7527
2016-10-07,-3.2706
2016-10-10,-2.0492
2016-10-11,-5.9623
2016-10-12,-2.6696
2016-10-13,5.7143
2016-10-14,3.4595000000000002
2016-10-17,-1.3532
2016-10-18,-1.4883
2016-10-19,6.7332
2016-10-20,1.2524
2016-10-21,-2.4924
2016-10-24,0.2041
2016-10-25,-1.222
2016-10-26,-2.7835
2016-10-27,-14.1039
2016-10-28,3.7037
2016-10-31,0.4762
2016-11-01,-1.5995
2016-11-02,-5.4786
2016-11-03,-4.7134
2016-11-04,-1.8717000000000001
2016-11-07,10.218
2016-11-08,-0.618
2016-11-09,0.8706
2016-11-10,12.2072
2016-11-11,5.511
2016-11-14,-5.119
2016-11-15,1.6465
2016-11-16,-0.432
2016-11-17,3.0369
2016-11-18,0.1053
