ticker,EBON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-29,-10.0
2020-06-30,5.1111
2020-07-01,-16.0677
2020-07-02,10.0756
2020-07-06,-2.9748
2020-07-07,-3.066
2020-07-08,2.4331
2020-07-09,-1.4252
2020-07-10,1.2048
2020-07-13,9.2857
2020-07-14,3.4858000000000002
2020-07-15,15.7895
2020-07-16,-8.0
2020-07-17,-3.9526
2020-07-20,-8.642
2020-07-21,1.3514
2020-07-22,-2.0
2020-07-23,-0.4535
2020-07-24,-4.328
2020-07-27,14.0476
2020-07-28,-2.714
2020-07-29,3.0043
2020-07-30,-4.7917
2020-07-31,0.0
