ticker,APLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-19,4.4444
2015-05-20,-1.0106
2015-05-21,-1.9344000000000001
2015-05-22,-0.2192
2015-05-26,0.1647
2015-05-27,2.7961
2015-05-28,-0.6971
2015-05-29,-0.378
2015-06-01,0.1626
2015-06-02,1.0281
2015-06-03,1.3926
2015-06-04,-0.1057
2015-06-05,-0.2644
2015-06-08,0.053
2015-06-09,0.159
2015-06-10,-0.2116
2015-06-11,0.0
2015-06-12,-0.7953
2015-06-15,0.481
2015-06-16,0.4787
2015-06-17,0.7411
2015-06-18,0.3678
2015-06-19,-1.3089
2015-06-22,-0.8488
2015-06-23,0.3745
2015-06-24,1.2793
2015-06-25,-0.2632
2015-06-26,1.6359
2015-06-29,-1.5657999999999999
2015-06-30,0.053
2015-07-01,0.159
2015-07-02,-0.4233
2015-07-06,-0.1063
2015-07-07,-0.9043
2015-07-08,-0.161
2015-07-09,0.4301
2015-07-10,1.6059999999999999
2015-07-13,-1.1591
2015-07-14,1.0128
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,-0.1055
2015-07-20,-1.5848
2015-07-21,-1.6103
2015-07-22,-0.5456
2015-07-23,-2.1942
2015-07-24,-1.5704
2015-07-27,0.114
2015-07-28,1.9351
2015-07-29,0.8934
2015-07-30,0.2782
2015-07-31,0.6659
2015-08-03,0.1654
2015-08-04,-0.8255
2015-08-05,0.3885
2015-08-06,-0.9397
2015-08-07,0.9487
2015-08-10,-0.7739
2015-08-11,0.1114
2015-08-12,-0.1669
2015-08-13,-0.8361
2015-08-14,1.0118
2015-08-17,0.7234
2015-08-18,-0.7182
2015-08-19,-0.2782
2015-08-20,-0.558
2015-08-21,-2.8058
2015-08-24,-4.0993
2015-08-25,-1.3847
2015-08-26,3.5409
2015-08-27,3.4198
2015-08-28,2.0069
2015-08-31,-0.4497
2015-09-01,-1.694
2015-09-02,2.757
2015-09-03,0.1118
2015-09-04,0.2233
2015-09-08,5.6825
2015-09-09,-0.5799
2015-09-10,0.6893
2015-09-11,1.3691
2015-09-14,0.6753
2015-09-15,-0.8256
2015-09-16,0.7284
2015-09-17,2.1178
2015-09-18,-4.35
2015-09-21,0.2115
2015-09-22,-2.2691
2015-09-23,1.9978
2015-09-24,-1.5352000000000001
2015-09-25,1.5053999999999998
2015-09-28,-1.0064
2015-09-29,-1.6676
2015-09-30,1.5864
2015-10-01,0.6462
2015-10-02,-0.321
2015-10-05,1.4493
2015-10-06,-0.3704
2015-10-07,0.8497
