ticker,EBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-15,-6.4
2006-11-16,-4.2735
2006-11-17,0.0
2006-11-20,0.8929
2006-11-21,-2.2124
2006-11-22,-1.629
2006-11-24,-0.552
2006-11-27,-1.9426
2006-11-28,-1.5093999999999999
2006-11-29,2.0115
2006-11-30,-1.5023
2006-12-01,3.4318
2006-12-04,-1.9355
2006-12-05,0.094
2006-12-06,0.4695
2006-12-07,1.3084
2006-12-08,-0.369
2006-12-11,-2.3148
2006-12-12,-3.981
2006-12-13,-3.5538
2006-12-14,5.9365
2006-12-15,-2.2222
2006-12-18,0.9881
2006-12-19,1.4677
2006-12-20,9.9325
2006-12-21,-0.7895
2006-12-22,0.4421
2006-12-26,1.1444
2006-12-27,-0.1741
2006-12-28,-3.4874
2006-12-29,0.813
2007-01-03,1.2545
2007-01-04,0.885
2007-01-05,-3.2456
2007-01-08,3.5358
2007-01-09,4.4658
2007-01-10,-1.3412
2007-01-11,1.3594
2007-01-12,7.3764
2007-01-16,4.7619
2007-01-17,2.9806
2007-01-18,0.6512
2007-01-19,9.202
2007-01-22,3.7525
2007-01-23,1.5228000000000002
2007-01-24,6.125
2007-01-25,-0.4122
2007-01-26,-6.3276
2007-01-29,-0.6313
2007-01-30,-2.033
2007-01-31,-2.1401
2007-02-01,-0.1325
2007-02-02,-1.3271
2007-02-05,-0.3362
2007-02-06,0.8772
2007-02-07,0.3344
2007-02-08,-1.0667
2007-02-09,0.3369
2007-02-12,1.1417
2007-02-13,-0.1992
2007-02-14,-2.3952
2007-02-15,1.6360000000000001
2007-02-16,0.3353
2007-02-20,0.3342
2007-02-21,0.1332
2007-02-22,-6.4538
2007-02-23,-0.2845
2007-02-26,-1.5692
2007-02-27,-7.8986
2007-02-28,-1.1015
2007-03-01,-4.6142
2007-03-02,-4.0033
2007-03-05,-5.9079
2007-03-06,-1.5697
2007-03-07,8.5366
2007-03-08,3.6301
2007-03-09,0.0834
2007-03-12,-0.4167
2007-03-13,-0.5858
2007-03-14,0.9259
2007-03-15,-1.4178
2007-03-16,0.846
2007-03-19,1.8456000000000001
2007-03-20,1.4827
2007-03-21,9.2532
2007-03-22,5.4978
2007-03-23,6.1268
2007-03-26,-9.2236
2007-03-27,5.4094
2007-03-28,-5.6865
2007-03-29,-1.4706000000000001
2007-03-30,0.1493
2007-04-02,-3.5022
2007-04-03,2.7799
2007-04-04,-1.8032
2007-04-05,1.6067
2007-04-09,-2.0331
2007-04-10,2.7671
