ticker,GEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-15,2.5806
2007-05-16,0.6289
2007-05-17,-0.9375
2007-05-18,-2.1451000000000002
2007-05-21,-0.0645
2007-05-22,3.5484
2007-05-23,-1.9315
2007-05-24,-1.4612
2007-05-25,0.0
2007-05-29,0.0
2007-05-30,0.3224
2007-05-31,1.7351999999999999
2007-06-01,-0.1895
2007-06-04,0.2532
2007-06-05,-2.1465
2007-06-06,0.0
2007-06-07,0.0645
2007-06-08,-0.5158
2007-06-11,0.3889
2007-06-12,-1.5493999999999999
2007-06-13,-0.9836
2007-06-14,-0.3974
2007-06-15,0.0665
2007-06-18,-0.3322
2007-06-19,2.0667
2007-06-20,3.8537
2007-06-21,0.3145
2007-06-22,0.5016
2007-06-25,-0.1871
2007-06-26,-1.4375
2007-06-27,1.1414
2007-06-28,-0.627
2007-06-29,-2.1451000000000002
2007-07-02,1.1605
2007-07-03,0.1275
2007-07-05,0.1273
2007-07-06,1.1443
2007-07-09,-0.5657
2007-07-10,-0.9482
2007-07-11,0.5743
2007-07-12,0.1269
2007-07-13,0.6337
2007-07-16,-0.6927
2007-07-17,-1.6487
2007-07-18,-0.7092
2007-07-19,0.3896
2007-07-20,-1.1643
2007-07-23,-1.2435
2007-07-24,-1.1928
2007-07-25,-1.1402
2007-07-26,-2.9172000000000002
2007-07-27,-3.0049
2007-07-30,0.2882
2007-07-31,-0.2155
2007-08-01,-1.2239
2007-08-02,2.9882999999999997
2007-08-03,-3.3263
2007-08-06,0.6589
2007-08-07,1.5272999999999999
2007-08-08,5.3009
2007-08-09,-3.1973
2007-08-10,5.4111
2007-08-13,1.2667
2007-08-14,-3.0283
2007-08-15,-4.6843
2007-08-16,5.5556
2007-08-17,2.4966
2007-08-20,-1.2508
2007-08-21,-1.2
2007-08-22,-2.3617
2007-08-23,-2.557
2007-08-24,0.7092
2007-08-27,3.3803
2007-08-28,-2.5886
2007-08-29,1.049
2007-08-30,0.7612
2007-08-31,-0.206
2007-09-04,1.4453
2007-09-05,-1.6961
2007-09-06,2.4845
2007-09-07,-1.0101
2007-09-10,-0.5442
2007-09-11,2.3256
2007-09-12,-0.4011
2007-09-13,0.2685
2007-09-14,-1.2718
2007-09-17,-2.4407
2007-09-18,4.1696
2007-09-19,3.5357
2007-09-20,1.0309
2007-09-21,0.0638
2007-09-24,0.6373
2007-09-25,0.57
2007-09-26,1.7003
2007-09-27,-0.8669
2007-09-28,-1.624
2007-10-01,1.9048
