ticker,RIGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-11-29,1.5625
2000-11-30,-0.6593
2000-12-01,4.4248
2000-12-04,1.6949
2000-12-05,2.5
2000-12-06,-2.439
2000-12-07,-2.9167
2000-12-08,1.2876
2000-12-11,13.5593
2000-12-12,5.2239
2000-12-13,-10.6383
2000-12-14,0.0
2000-12-15,-3.9683
2000-12-18,-2.4793
2000-12-19,0.0
2000-12-20,-5.0847
2000-12-21,1.7856999999999998
2000-12-22,3.5088
2000-12-26,8.4746
2000-12-27,12.5
2000-12-28,1.3889
2000-12-29,9.589
2001-01-02,13.75
2001-01-03,4.3956
2001-01-04,-8.4211
2001-01-05,0.5747
2001-01-08,-9.7143
2001-01-09,-14.8734
2001-01-10,4.0892
2001-01-11,-2.1429
2001-01-12,5.1095
2001-01-16,1.3889
2001-01-17,-2.7397
2001-01-18,-9.1549
2001-01-19,0.0
2001-01-22,8.5271
2001-01-23,8.5714
2001-01-24,0.0
2001-01-25,-9.8684
2001-01-26,8.0292
2001-01-29,8.7838
2001-01-30,0.6211
2001-01-31,-6.7901
2001-02-01,-3.3113
2001-02-02,-2.7397
2001-02-05,-1.4085
2001-02-06,-7.8571
2001-02-07,5.4264
2001-02-08,-2.9412000000000003
2001-02-09,-3.0303
2001-02-12,0.7813
2001-02-13,-3.876
2001-02-14,4.8387
2001-02-15,-7.6923
2001-02-16,-5.8333
2001-02-20,-0.885
2001-02-21,-17.8571
2001-02-22,-21.7391
2001-02-23,-4.1667
2001-02-26,-4.3478
2001-02-27,0.7576
2001-02-28,-3.0075
2001-03-01,24.031
2001-03-02,20.0
2001-03-05,0.0
2001-03-06,6.25
2001-03-07,-21.5686
2001-03-08,-2.5
2001-03-09,3.8462
2001-03-12,-11.1111
2001-03-13,5.5556
2001-03-14,-5.2632
2001-03-15,0.0
2001-03-16,0.0
2001-03-19,8.3333
2001-03-20,-5.1282
2001-03-21,0.0
2001-03-22,0.0
2001-03-23,-17.5676
2001-03-26,-11.4754
2001-03-27,7.4074
2001-03-28,6.8966
2001-03-29,0.0
2001-03-30,-9.6774
2001-04-02,5.3571
2001-04-03,-11.0169
2001-04-04,-0.9524
2001-04-05,3.8462
2001-04-06,3.7037
2001-04-09,0.0
2001-04-10,10.7143
2001-04-11,0.6452
2001-04-12,2.5641
2001-04-16,0.5
2001-04-17,-8.209
2001-04-18,13.8211
2001-04-19,18.3333
2001-04-20,-14.4869
2001-04-23,5.8824
2001-04-24,4.4444
2001-04-25,-6.383
