ticker,ASFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-13,2500.0
2018-02-26,-52.3077
2018-02-27,3.2258
2018-03-01,9.375
2018-03-14,-17.1429
2018-03-15,17.2414
2018-03-16,2.9412000000000003
2018-03-19,-1.4285999999999999
2018-03-20,0.2899
2018-03-22,1.1561
2018-03-23,-1.1429
2018-03-28,-1.7341
2018-03-29,2.9412000000000003
2018-04-03,0.0
2018-04-05,0.0
2018-04-09,-14.2857
2018-04-12,16.6667
2018-04-16,0.0
2018-04-17,0.0
2018-04-20,-3.4286
2018-06-14,3.5503
2018-07-05,-20.0
2018-07-09,0.0
2018-07-13,0.0
2018-07-19,25.0
2018-08-03,0.0
2018-08-06,14.2857
2018-08-09,25.0
2018-08-17,-40.0
2018-08-27,0.0
2018-09-21,33.3333
2018-11-07,-25.0
2018-11-08,30.0
2018-11-09,-23.0769
2018-11-16,0.0
2018-11-21,0.0
2018-11-26,0.0
2018-11-29,0.0
2019-01-04,-83.3333
2019-01-09,700.0
2019-01-28,-25.0
2019-02-14,0.0
2019-03-26,0.0
2019-05-21,0.0
2019-05-24,-33.3333
2019-05-28,75.0
2019-05-29,-14.2857
2019-06-03,0.0
2019-09-27,-6.6667
2019-09-30,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-10,7.1429
2019-12-12,-16.6667
2019-12-13,4.0
2019-12-16,0.0
2020-02-28,-3.8462
2020-03-13,-20.0
2020-03-16,10.01
2020-03-18,-0.0091
2020-04-02,-4.5455
2020-05-26,-1.9524
2020-06-11,1.5056
