ticker,LIGA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-19,0.0
2010-08-20,520.0
2010-08-23,12.9032
2010-08-24,0.0
2010-08-25,-28.5714
2010-08-27,0.0
2010-08-30,0.0
2010-08-31,0.0
2010-09-01,20.0
2010-09-03,-16.6667
2010-09-08,-40.0
2010-09-09,66.6667
2010-09-23,0.0
2010-10-04,-40.0
2010-10-05,0.0
2010-10-06,-33.3333
2010-10-07,0.0
2010-10-08,290.0
2010-10-11,-35.8974
2010-10-19,-4.0
2010-11-16,-58.3333
2010-11-19,100.0
2010-11-22,-10.0
2010-12-01,-44.4444
2010-12-02,80.0
2010-12-13,-44.4444
2010-12-14,-50.0
2010-12-16,0.0
2010-12-17,0.0
2010-12-21,20.0
2010-12-22,0.0
2010-12-27,0.0
2010-12-29,50.0
2011-01-03,177.7778
2011-01-07,-24.0
2011-01-24,-68.4211
2011-02-02,150.0
2011-02-10,-33.3333
2011-02-23,0.0
2011-02-25,55.0
2011-03-07,54.8387
2011-03-08,-37.5
2011-04-01,60.0
2011-04-05,0.0
2011-04-19,-54.1667
2011-05-10,36.3636
2011-05-11,-13.3333
2011-05-18,7.6923
2011-05-23,50.0
2011-05-25,-28.5714
2011-06-03,-33.3333
2011-06-07,30.0
2011-06-08,-84.6154
2011-06-09,650.0
2011-06-13,-33.3333
2011-06-15,0.0
2011-06-17,50.0
2011-06-22,-40.0
2011-06-23,22.2222
2011-06-27,81.8182
2011-07-08,-50.0
2011-07-11,30.0
2011-07-18,0.0
2011-07-27,15.3846
2011-07-28,0.0
2011-08-01,-46.6667
2011-08-02,0.0
2011-08-12,25.0
2011-08-17,0.0
2011-08-23,-50.0
2011-08-24,60.0
2011-08-25,125.0
2011-08-26,-16.6667
2011-08-30,-40.0
2011-09-12,-22.2222
2011-09-13,14.2857
2011-09-19,0.0
2011-09-20,25.0
2011-09-21,0.0
2011-09-23,0.0
2011-09-27,82.5
2011-10-04,-17.8082
2011-10-06,13.3333
2011-10-10,-29.4118
2011-10-11,25.0
2011-10-17,-33.3333
2011-10-27,0.0
2011-10-28,100.0
2011-10-31,-25.0
2011-11-01,0.0
2011-11-04,-33.3333
2011-11-08,0.0
2011-11-09,0.0
2011-11-14,80.0
2011-11-15,-33.3333
2011-11-16,50.0
2011-11-17,-25.0
2011-11-18,7.4074
2011-11-21,-17.2414
2011-11-28,25.0
2011-12-06,-18.6667
2011-12-07,-18.0328
2011-12-13,20.0
2012-01-09,-33.3333
2012-01-11,112.5
