ticker,TH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-09,1.0256
2018-03-12,0.0
2018-04-16,0.0
2018-04-18,-2.5381
2018-04-24,2.6042
2018-04-25,0.0
2018-04-26,0.0
2018-04-30,0.203
2018-05-01,0.8105
2018-05-03,-1.3568
2018-05-07,0.6215
2018-05-10,-0.162
2018-05-11,-0.2028
2018-05-14,-0.4065
2018-05-15,0.0
2018-05-16,-0.5153
2018-05-18,1.5436999999999999
2018-05-21,-1.0101
2018-05-22,0.0
2018-05-29,0.0
2018-06-01,-0.5102
2018-06-06,-0.2051
2018-06-11,0.0
2018-06-15,0.0
2018-06-18,0.1028
2018-06-19,-0.1027
2018-06-28,0.7194
2018-06-29,-0.8163
2018-07-03,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-09,0.0
2018-07-12,0.1029
2018-07-16,0.0
2018-07-17,0.4111
2018-07-20,-0.3071
2018-07-26,0.1027
2018-08-01,0.4103
2018-08-06,-0.3064
2018-08-10,0.4098
2018-08-13,0.5102
2018-08-28,-0.5076
2018-08-29,0.0
2018-09-04,0.2041
2018-09-13,0.1018
2018-09-14,0.1017
2018-09-17,-0.813
2018-09-19,0.4098
2018-09-21,-0.102
2018-09-24,0.5107
2018-09-25,0.0691
2018-09-26,-0.2722
2018-10-01,0.1018
2018-10-03,0.2035
2018-10-05,0.0
2018-10-11,0.1015
2018-10-19,-1.6227
2018-10-22,1.8557000000000001
2018-10-24,0.0
2018-10-26,-0.2024
2018-10-29,0.1014
2018-10-30,-0.2026
2018-10-31,0.203
2018-11-01,0.1013
2018-11-05,0.1012
2018-11-07,0.1011
2018-11-08,0.0
2018-11-13,0.101
2018-11-14,1.9173
2018-11-15,0.396
2018-11-16,0.0
2018-11-19,-0.0986
2018-11-20,-0.0987
2018-11-21,-1.087
2018-11-23,0.999
2018-11-26,-0.2967
2018-11-27,0.1984
2018-11-28,-0.0495
2018-11-29,-0.0495
2018-11-30,-0.2973
2018-12-03,0.2982
2018-12-04,-0.3964
2018-12-06,-0.0995
2018-12-07,0.0996
2018-12-10,-0.398
2018-12-11,0.2997
2018-12-12,0.0
2018-12-13,0.0996
2018-12-14,0.0
2018-12-17,0.0995
2018-12-19,-0.0994
2018-12-20,0.0
2018-12-24,0.4975
2018-12-26,-0.1485
2018-12-28,-0.8428
2018-12-31,0.8
2019-01-02,-0.0298
2019-01-03,-0.2679
2019-01-04,0.199
2019-01-07,0.0993
2019-01-08,-0.0992
2019-01-09,0.0993
