ticker,IXEH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-02-03,-16.0
2009-02-04,-3.8095
2009-02-05,28.7129
2009-02-06,-22.3077
2009-02-11,18.8119
2009-02-12,25.0
2009-02-13,13.3333
2009-02-17,-26.4706
2009-02-19,-4.0
2009-02-20,-12.5
2009-02-23,-4.7619
2009-02-25,5.0
2009-02-26,0.0
2009-02-27,-3.8095
2009-03-02,-10.8911
2009-03-04,38.8889
2009-03-05,-16.0
2009-03-06,13.3333
2009-03-09,-15.1261
2009-03-13,0.0
2009-03-17,0.0
2009-03-18,-52.4752
2009-03-19,-6.25
2009-03-20,22.2222
2009-03-23,-27.2727
2009-03-24,0.0
2009-03-25,25.0
2009-03-26,-4.0
2009-03-30,-2.0833
2009-03-31,8.5106
2009-04-01,-5.8824
2009-04-02,6.25
2009-04-03,7.8431
2009-04-06,0.0
2009-04-07,18.1818
2009-04-08,-13.8462
2009-04-09,-7.1429
2009-04-14,-23.0769
2009-04-16,40.0
2009-04-17,0.0
2009-04-20,-1.7856999999999998
2009-04-21,-7.2727
2009-04-22,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-27,0.0
2009-04-28,-11.7647
2009-04-30,-6.6667
2009-05-01,21.4286
2009-05-04,-17.647100000000002
2009-05-05,-2.3810000000000002
2009-05-06,-2.439
2009-05-07,0.0
2009-05-08,-12.5
2009-05-11,0.0
2009-05-12,25.7143
2009-05-13,15.9091
2009-05-14,7.8431
2009-05-15,-14.5455
2009-05-18,14.8936
2009-05-19,-7.4074
2009-05-20,-20.0
2009-05-21,7.5
2009-05-22,-19.7674
2009-05-26,-4.3478
2009-05-27,1.5152
2009-05-28,-10.4478
2009-05-29,6.6667
2009-06-01,-1.25
2009-06-02,-14.557
2009-06-03,0.0
2009-06-04,-3.7037
2009-06-05,1.9231
2009-06-08,1.8868
2009-06-09,-5.5556
2009-06-10,9.8039
2009-06-11,-7.1429
2009-06-12,-3.8462
2009-06-15,6.0
2009-06-16,22.6415
2009-06-17,0.0
2009-06-18,-7.6923
2009-06-19,0.0
2009-06-22,-3.3333
2009-06-23,8.6207
2009-06-24,-4.7619
2009-06-25,3.3333
2009-06-26,0.0
2009-06-29,-3.2258
2009-06-30,-6.6667
2009-07-01,-7.1429
2009-07-02,-3.8462
2009-07-06,-8.0
2009-07-07,0.0
2009-07-08,13.0435
2009-07-09,-7.6923
2009-07-10,-12.5
2009-07-13,0.0
2009-07-14,4.7619
2009-07-15,-13.6364
2009-07-16,-6.5789
