ticker,CVCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-06-23,0.0
2003-06-26,0.0
2003-06-27,3.3333
2003-06-30,19.3548
2003-07-01,8.1081
2003-07-02,7.5
2003-07-03,-6.9767
2003-07-07,-9.25
2003-07-08,2.4242
2003-07-09,-2.582
2003-07-10,0.0
2003-07-11,-0.8283
2003-07-14,14.4209
2003-07-15,0.438
2003-07-16,-5.7655
2003-07-17,-1.0283
2003-07-18,-3.5844
2003-07-21,-0.5927
2003-07-22,2.981
2003-07-23,0.7895
2003-07-24,-0.2611
2003-07-25,0.2618
2003-07-28,0.6266
2003-07-29,-1.4011
2003-07-30,0.0526
2003-07-31,0.9995
2003-08-01,-3.125
2003-08-04,3.7634
2003-08-05,-0.2591
2003-08-06,-0.7792
2003-08-07,3.6649000000000003
2003-08-08,-0.7576
2003-08-11,3.8167999999999997
2003-08-12,-0.5392
2003-08-13,2.0207
2003-08-14,-4.9758
2003-08-15,0.1525
2003-08-18,1.066
2003-08-19,0.1507
2003-08-20,-1.3791
2003-08-21,-2.1612
2003-08-22,-0.9875
2003-08-25,0.7874
2003-08-26,0.5208
2003-08-27,0.0
2003-08-28,0.0518
2003-08-29,-1.2947
2003-09-02,1.7838
2003-09-03,-0.2577
2003-09-04,0.7752
2003-09-05,0.2564
2003-09-08,0.7673
2003-09-09,1.3197999999999999
2003-09-10,-1.3026
2003-09-11,-2.5381
2003-09-12,-0.5208
2003-09-15,1.466
2003-09-16,0.6192
2003-09-17,3.8462
2003-09-18,-1.2346
2003-09-19,-0.25
2003-09-22,0.1003
2003-09-23,0.651
2003-09-24,2.8856
2003-09-25,-1.8375
2003-09-26,0.7389
2003-09-29,0.0
2003-09-30,4.7922
2003-10-01,1.3066
2003-10-02,-0.8752
2003-10-03,4.5074
2003-10-06,-4.1752
2003-10-07,1.1554
2003-10-08,-0.4587
2003-10-09,1.3825
2003-10-10,4.5455
2003-10-13,-1.3043
2003-10-14,1.9824000000000002
2003-10-15,-1.7279
2003-10-16,-1.3187
2003-10-17,1.1136
2003-10-20,1.3216
2003-10-21,-1.087
2003-10-22,3.2088
2003-10-23,1.1499
2003-10-24,0.2105
2003-10-27,0.7143
2003-10-28,-0.9178
2003-10-29,0.8421
2003-10-30,0.6263
2003-10-31,0.4149
2003-11-03,-0.4132
2003-11-04,0.0041
2003-11-05,-0.0041
2003-11-06,-2.4896
2003-11-07,2.1277
2003-11-10,-1.2083
2003-11-11,1.2231
2003-11-12,-1.6667
