ticker,BIIB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.0891
2000-01-04,-6.7694
2000-01-05,6.9734
2000-01-06,4.4355
2000-01-07,11.5187
2000-01-10,10.3289
2000-01-11,-7.8452
2000-01-12,-4.0863
2000-01-13,9.9408
2000-01-14,-0.5382
2000-01-18,-7.3052
2000-01-19,13.0181
2000-01-20,1.3946
2000-01-21,20.4279
2000-01-24,-7.0643
2000-01-25,-1.0469
2000-01-26,5.5198
2000-01-27,-9.1543
2000-01-28,-1.5354999999999999
2000-01-31,-1.6082
2000-02-01,5.3492
2000-02-02,-20.2633
2000-02-03,-2.7123
2000-02-04,6.1818
2000-02-07,4.8516
2000-02-08,13.1192
2000-02-09,-5.2936
2000-02-10,-4.7256
2000-02-11,1.3867
2000-02-14,0.0
2000-02-15,-2.0516
2000-02-16,4.7261
2000-02-17,8.0
2000-02-18,0.1899
2000-02-22,-5.3081
2000-02-23,11.2613
2000-02-24,-0.135
2000-02-25,-0.9459
2000-02-28,-2.8649
2000-02-29,5.5243
2000-03-01,4.2147
2000-03-02,-5.2788
2000-03-03,7.8652
2000-03-06,14.2083
2000-03-07,-7.4425
2000-03-08,-3.7446
2000-03-09,-6.3882
2000-03-10,-9.4926
2000-03-13,-10.4882
2000-03-14,-9.2873
2000-03-15,3.3929
2000-03-16,10.4203
2000-03-17,-0.7821
2000-03-20,-10.4572
2000-03-21,8.5387
2000-03-22,13.5442
2000-03-23,-3.9048
2000-03-24,-5.6492
2000-03-27,-1.313
2000-03-28,-3.3528000000000002
2000-03-29,-14.8678
2000-03-30,-10.2199
2000-03-31,13.2565
2000-04-03,-4.1985
2000-04-04,2.5232
2000-04-05,13.9896
2000-04-06,-2.6705
2000-04-07,-5.3707
2000-04-10,-4.38
2000-04-11,-8.7097
2000-04-12,-9.0459
2000-04-13,-3.6519
2000-04-14,-7.0968
2000-04-17,-10.1563
2000-04-18,11.6908
2000-04-19,7.0934
2000-04-20,-18.4168
2000-04-24,-9.1089
2000-04-25,4.1394
2000-04-26,0.7322
2000-04-27,-3.6345
2000-04-28,10.3448
2000-05-01,12.6953
2000-05-02,-7.1924
2000-05-03,-2.9879
2000-05-04,10.2984
2000-05-05,4.9738
2000-05-08,-0.665
2000-05-09,-2.1757
2000-05-10,-1.0265
2000-05-11,1.815
2000-05-12,6.6213999999999995
2000-05-15,-4.2994
2000-05-16,-0.2496
2000-05-17,-4.4204
2000-05-18,0.1745
2000-05-19,-2.6132
2000-05-22,-11.3596
