ticker,HGV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-15,-0.1912
2016-12-16,-0.3831
2016-12-19,-0.9231
2016-12-20,0.9317
2016-12-21,-2.3846
2016-12-22,0.4334
2016-12-23,0.6277
2016-12-27,-0.5848
2016-12-28,0.5098
2016-12-29,0.8584
2016-12-30,0.5803
2017-01-03,-1.6154
2017-01-04,1.0555
2017-01-05,-1.0445
2017-01-06,3.792
2017-01-09,-0.1883
2017-01-10,-2.6792
2017-01-11,-1.1632
2017-01-12,-0.5492
2017-01-13,-1.1834
2017-01-17,-0.2395
2017-01-18,0.8003
2017-01-19,3.5728
2017-01-20,1.9548
2017-01-23,2.0301
2017-01-24,5.5637
2017-01-25,-1.0122
2017-01-26,-0.4584
2017-01-27,0.9919
2017-01-30,-0.5261
2017-01-31,3.4203
2017-02-01,-0.2387
2017-02-02,-0.7861
2017-02-03,0.9645
2017-02-06,-0.0341
2017-02-07,0.9556
2017-02-08,1.4537
2017-02-09,1.966
2017-02-10,-0.817
2017-02-13,-0.1647
2017-02-14,-2.2442
2017-02-15,1.3167
2017-02-16,-1.9327
2017-02-17,0.1699
2017-02-21,1.289
2017-02-22,-0.5023
2017-02-23,0.9761
2017-02-24,0.0333
2017-02-27,0.2999
2017-02-28,-0.5316
2017-03-01,3.2398
2017-03-02,-1.8117
2017-03-03,-0.9226
2017-03-06,-1.2637
2017-03-07,-3.0313
2017-03-08,-2.3619
2017-03-09,0.6759
2017-03-10,1.9788000000000001
2017-03-13,0.7277
2017-03-14,-0.172
2017-03-15,-0.448
2017-03-16,0.0
2017-03-17,0.4846
2017-03-20,-0.4478
2017-03-21,-1.8685
2017-03-22,-0.9168
2017-03-23,2.6334999999999997
2017-03-24,0.0347
2017-03-27,-0.9012
2017-03-28,1.0493
2017-03-29,-0.5538
2017-03-30,0.7309
2017-03-31,-0.9675
2017-04-03,2.4773
2017-04-04,2.6898
2017-04-05,2.7851
2017-04-06,0.0
2017-04-07,-1.2581
2017-04-10,2.1562
2017-04-11,-0.2558
2017-04-12,1.8916
2017-04-13,-0.4405
2017-04-17,-0.0948
2017-04-18,-1.2338
2017-04-19,0.3844
2017-04-20,-1.7549000000000001
2017-04-21,1.2017
2017-04-24,1.4442
2017-04-25,1.6134
2017-04-26,3.7049
2017-04-27,1.0207
2017-04-28,-0.5349
2017-05-01,1.4341
2017-05-02,2.1797
2017-05-03,-1.9889999999999999
2017-05-04,5.5
2017-05-05,0.3624
2017-05-08,-1.8333
