ticker,LBTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-23,100.0
2008-04-24,0.0
2008-05-02,0.0
2008-05-05,12.5
2008-05-09,0.0
2008-05-13,-0.2222
2008-05-15,0.2227
2008-05-16,-0.2222
2008-05-21,-0.4454
2008-05-23,2.9083
2008-05-28,0.0
2008-05-30,-1.087
2008-06-11,1.0989
2008-06-12,0.0
2008-06-13,0.0
2008-06-16,-0.6522
2008-06-17,0.6565
2008-06-19,0.0
2008-06-20,0.0
2008-06-23,0.0
2008-07-01,0.0
2008-07-02,-0.4348
2008-07-03,0.4367
2008-07-07,-0.4348
2008-07-16,-1.7467000000000001
2008-07-17,2.2222
2008-07-18,0.0
2008-07-21,0.0
2008-07-28,0.0
2008-07-29,0.0
2008-07-31,-0.4348
2008-08-01,1.5284
2008-08-05,-3.2258
2008-08-06,3.3333
2008-08-07,0.0
2008-08-08,0.0
2008-08-12,-0.4301
2008-08-14,0.0
2008-08-15,0.0
2008-08-25,0.432
2008-08-26,0.0
2008-08-29,0.0
2008-09-03,0.0
2008-09-05,-0.8602
2008-09-09,0.0
2008-09-10,1.5184
2008-09-15,0.8547
2008-09-16,0.6356
2008-09-17,0.0
2008-09-18,0.0
2008-09-19,-0.8421
2008-09-22,0.8493
2008-09-26,0.0
2008-09-30,0.0
2008-10-01,-0.4211
2008-10-02,-3.3827
2008-10-07,-1.5316999999999998
2008-10-08,0.0
2008-10-09,0.0
2008-10-10,0.0
2008-10-13,0.0
2008-10-14,4.4444
2008-10-15,0.0
2008-10-16,-13.8298
2008-10-17,1.2346
2008-10-20,12.1951
2008-10-21,-10.8696
2008-10-22,-0.9756
2008-10-23,4.6798
2008-10-24,-4.4706
2008-10-27,10.8374
2008-10-28,-9.7778
2008-10-29,4.6798
2008-10-30,5.8824
2008-10-31,0.0
2008-11-03,0.0
2008-11-04,0.0
2008-11-05,-1.1111
2008-11-06,1.1236
2008-11-07,0.0
2008-11-10,-2.2222
2008-11-11,0.0
2008-11-12,-3.1818
2008-11-13,3.2864
2008-11-14,2.2727
2008-11-17,4.4444
2008-11-18,-4.2553
2008-11-19,0.0
2008-11-20,0.0
2008-11-21,0.0
2008-11-24,4.4444
2008-11-25,0.0
2008-11-26,0.0
2008-11-28,-0.4255
2008-12-01,0.4274
2008-12-02,0.0
2008-12-03,-4.2553
2008-12-04,0.0
2008-12-05,0.0
2008-12-08,0.0
2008-12-09,-33.3333
2008-12-10,66.6667
2008-12-11,0.0
2008-12-12,0.0
