ticker,NEFB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-08,0.5
2000-04-04,9.4527
2000-04-07,-4.5455
2000-04-11,2.3810000000000002
2000-04-12,-3.2558
2000-04-13,0.9615
2000-05-11,-2.3810000000000002
2000-05-15,1.9512
2000-07-25,0.0
2000-08-02,-6.2201
2000-08-16,2.0408
2000-12-27,2.5
2000-12-28,-2.439
2001-01-09,0.0
2001-01-10,0.5
2001-01-19,-5.9701
2001-01-25,2.1164
2001-02-07,-1.5544
2001-03-02,5.2632
2001-03-14,0.0
2001-03-16,0.0
2001-03-21,0.0
2001-03-29,-4.5
2001-04-12,4.712
2001-04-17,-2.5
2001-04-18,2.0513
2001-04-19,3.0151
2001-05-03,-8.2927
2001-05-21,6.383
2001-05-24,1.0
2001-06-01,-1.4851
2001-06-04,-1.7588
2001-06-05,1.7903
2001-06-06,0.0
2001-06-14,0.0
2001-06-20,0.0
2001-06-27,0.0
2001-07-26,-4.0201
2001-08-02,4.1885
2001-08-06,-2.5126
2001-08-07,-1.5464
2001-08-08,4.1885
2001-08-16,-1.005
2001-08-23,-1.5228000000000002
2001-09-04,0.7732
2001-09-20,-1.7903
2001-09-21,1.8229
2001-09-24,-1.7903
2001-10-01,4.1667
2001-10-09,-2.5
2001-10-18,-1.5385
2001-10-19,0.0
2001-10-22,-3.6458
2001-10-23,2.7027
2001-10-25,2.6316
2001-10-26,0.0
2001-10-31,0.0
2001-11-01,2.5641
2001-11-05,0.0
2001-11-14,-2.5
2001-11-15,2.5641
2001-11-20,-7.0
2001-12-18,2.1505
2002-01-11,2.6316
2002-01-25,-3.3333
2002-04-08,0.2653
2002-04-26,3.9683
2002-06-11,0.7634
2002-07-08,-3.0303
2002-07-09,0.0
2002-07-10,0.0
2002-08-06,1.5625
2002-08-23,-1.5385
2002-08-28,2.0833
2002-12-05,1.2755
2003-01-22,-1.7631999999999999
2003-01-24,0.2564
2003-01-27,2.3018
2003-01-30,-1.75
2003-02-05,0.7634
2003-02-07,1.0101
2003-03-10,-1.0
2003-05-07,2.0202
2003-06-24,-2.4752
2003-06-26,2.0305
2003-06-27,1.99
2003-06-30,-1.9512
2003-10-14,6.9652
2003-11-13,4.6512
2004-01-14,0.0
2004-01-30,1.3333
2004-03-12,0.0
2004-03-29,3.0702
2004-03-30,2.1277
2004-03-31,4.1667
2004-05-11,-8.0
2004-05-12,2.1739
2004-05-13,-4.2553
2004-06-22,0.0
2004-06-24,2.2222
2004-10-28,-0.8696
