ticker,NETE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-04,-2.4138
2012-10-05,0.8245
2012-10-09,3.8551
2012-10-10,-0.225
2012-10-11,-9.5829
2012-10-12,-2.6185
2012-10-15,0.0
2012-10-16,-4.0973
2012-10-17,0.156
2012-10-18,-12.1531
2012-10-19,-8.0425
2012-10-22,3.1353
2012-10-23,-1.6
2012-10-24,2.2763999999999998
2012-10-25,3.3366
2012-10-26,0.0788
2012-10-31,-7.7633
2012-11-01,-4.1667
2012-11-02,0.3478
2012-11-05,1.2132
2012-11-06,-1.5411000000000001
2012-11-09,-10.4348
2012-11-12,3.4951
2012-11-13,-1.3133
2012-11-14,4.3726
2012-11-15,0.1821
2012-11-16,-0.9091
2012-11-19,-7.3417
2012-11-20,0.5965
2012-11-21,0.7874
2012-11-23,-0.3906
2012-11-26,-1.9607999999999999
2012-11-27,-0.3825
2012-11-28,-13.0675
2012-11-29,5.0808
2012-11-30,-1.5385
2012-12-03,-19.1964
2012-12-04,-3.3149
2012-12-05,-2.8571
2012-12-06,-4.4081
2012-12-07,4.6152
2012-12-10,3.2315
2012-12-11,1.4245
2012-12-12,-1.1236
2012-12-13,-2.5568
2012-12-14,1.4577
2012-12-17,0.8621
2012-12-18,-3.1339
2012-12-19,2.5
2012-12-20,0.7174
2012-12-21,-8.547
2012-12-24,5.9229
2012-12-26,0.1434
2012-12-27,1.3216
2012-12-28,1.1594
2012-12-31,0.0
2013-01-02,-3.7249
2013-01-03,1.1905000000000001
2013-01-04,0.8824
2013-01-07,-11.0787
2013-01-08,-1.6393
2013-01-09,0.0
2013-01-10,-2.0938
2013-01-11,1.7981
2013-01-14,0.3344
2013-01-15,12.9333
2013-01-16,-5.3424
2013-01-17,-6.1428
2013-01-18,1.3289
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,2.2951
2013-01-25,-0.635
2013-01-28,-0.006
2013-01-29,-5.1613
2013-01-30,-11.2245
2013-01-31,-5.7471
2013-02-01,1.2195
2013-02-04,4.4177
2013-02-05,-5.7692
2013-02-06,-12.2449
2013-02-07,-6.9767
2013-02-08,19.5
2013-02-11,1.2551999999999999
2013-02-12,-1.6529
2013-02-13,-1.2605
2013-02-14,-9.7872
2013-02-15,1.4151
2013-02-19,-6.0465
2013-02-20,-0.495
2013-02-22,-0.4975
2013-02-25,22.5
2013-02-26,0.4133
2013-02-27,5.6857
2013-02-28,0.7692
2013-03-01,-4.5802
2013-03-04,-8.02
2013-03-05,0.0272
