ticker,CDBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-28,5.0
2008-04-01,0.0
2008-04-04,0.0
2008-04-07,0.0
2008-04-08,0.0
2008-04-10,0.0
2008-04-17,0.0
2008-04-21,2.3810000000000002
2008-04-22,0.0
2008-04-24,0.0
2008-04-25,0.0
2008-05-01,0.0
2008-05-19,-6.9767
2008-05-27,0.0
2008-06-12,-2.5
2008-07-07,0.0
2008-07-24,-23.0769
2008-07-28,30.0
2008-12-10,-23.0769
2009-01-09,-6.6667
2009-01-16,-60.7143
2009-01-20,90.9091
2009-01-22,-52.381
2009-01-27,110.0
2009-01-29,-3.8095
2009-02-03,-20.7921
2009-02-10,25.0
2009-02-17,-45.0
2009-02-20,-9.0909
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,-20.0
2009-03-03,-25.0
2009-03-05,16.6667
2009-03-06,-42.8571
2009-03-09,50.0
2009-03-10,70.0
2009-03-12,-46.0784
2009-03-16,-27.2727
2009-03-23,0.0
2009-03-24,275.0
2009-03-25,13.3333
2009-03-26,-10.5882
2009-03-27,-1.3158
2009-03-30,-6.6667
2009-03-31,42.8571
2009-04-02,0.0
2009-04-06,0.0
2009-04-07,4.0
2009-04-09,-5.7692
2009-04-13,0.0
2009-04-14,5.102
2009-04-17,0.0
2009-04-20,0.0
2009-04-22,-4.8544
2009-04-30,0.0
2009-05-04,5.102
2009-05-05,0.0
2009-05-06,-4.8544
2009-05-07,3.0612
2009-05-08,0.0
2009-05-12,-0.9901
2009-05-13,0.0
2009-05-14,-4.0
2009-05-15,1.0417
2009-05-18,2.0619
2009-05-21,4.0404
2009-05-22,-3.8834999999999997
2009-05-26,1.0101
2009-05-28,-3.0
2009-05-29,-4.1237
2009-06-01,-1.0753
2009-06-02,5.4348
2009-06-03,1.0309
2009-06-04,5.102
2009-06-05,0.9709
2009-06-08,0.9615
2009-06-09,-1.9048
2009-06-10,-1.9417
2009-06-11,0.0
2009-06-12,-0.9901
2009-06-15,2.0
2009-06-16,-0.9804
2009-06-17,-5.9406
2009-06-18,-5.2632
2009-06-19,-11.1111
2009-06-22,-6.25
2009-06-23,-24.0
2009-06-24,-12.2807
2009-06-25,0.0
2009-06-26,-34.0
2009-06-29,-6.0606
2009-06-30,-22.5806
2009-07-01,-10.4167
2009-07-02,6.9767
2009-07-06,8.6957
2009-07-07,68.0
2009-07-08,-7.1429
2009-07-09,-2.5641
2009-07-10,-10.526299999999999
2009-07-13,-5.8824
2009-07-14,0.0
