ticker,OLDF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-15,4.9603
2001-09-27,-0.189
2002-01-04,0.7576
2002-04-29,-2.2556
2002-05-06,4.6154
2002-05-17,-7.3529
2002-05-28,3.1746
2002-07-01,-0.7692
2002-07-09,2.3256
2002-07-18,0.0
2002-07-23,-2.2727
2002-07-25,2.3256
2006-06-30,26.5152
2006-07-10,0.2994
2007-01-30,2.6866
2007-04-26,0.0
2007-04-27,0.5814
2008-02-07,-0.578
2008-02-14,2.3256
2008-04-18,2.2727
2008-06-17,-3.3333
2008-07-24,-0.5747
2008-08-26,0.0
2008-09-11,0.578
2008-10-10,-8.046
2008-10-13,8.75
2008-10-14,0.0
2008-12-29,-10.3448
2008-12-30,8.9744
2009-01-20,-5.8824
2009-01-23,-3.75
2009-01-27,10.3896
2009-01-29,-2.9412000000000003
2009-02-10,-2.4242
2009-02-11,1.2422
2009-02-26,2.8834
2009-03-09,0.1789
