ticker,VVV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-23,5.0
2016-09-26,3.8095
2016-09-27,-1.251
2016-09-28,0.7179
2016-09-29,-1.4675
2016-09-30,-0.0426
2016-10-03,-1.192
2016-10-04,-0.3447
2016-10-05,-0.562
2016-10-06,0.3043
2016-10-07,-1.3871
2016-10-10,1.4945
2016-10-11,-0.4764
2016-10-12,0.9574
2016-10-13,-0.2155
2016-10-14,0.5616
2016-10-17,-0.7302
2016-10-18,-1.428
2016-10-19,-2.1071
2016-10-20,-0.8969
2016-10-21,-2.3982
2016-10-24,-1.0199
2016-10-25,-1.3115
2016-10-26,-1.7086000000000001
2016-10-27,-1.4969000000000001
2016-10-28,0.9314
2016-10-31,-0.9228
2016-11-01,-1.6667
2016-11-02,0.1994
2016-11-03,1.1443
2016-11-04,1.7216
2016-11-07,0.5319
2016-11-08,1.1544
2016-11-09,-5.8488
2016-11-10,-4.3939
2016-11-11,-0.1585
2016-11-14,3.7566
2016-11-15,1.1729
2016-11-16,2.2177
2016-11-17,3.2051
2016-11-18,2.6756
2016-11-21,0.0465
2016-11-22,-2.3256
2016-11-23,0.0
2016-11-25,0.4286
2016-11-28,0.2371
2016-11-29,0.3784
2016-11-30,-1.0839
2016-12-01,-3.1491
2016-12-02,-1.4793
2016-12-05,-0.3504
2016-12-06,-0.5525
2016-12-07,2.2222
2016-12-08,-1.3834
2016-12-09,2.9058
2016-12-12,1.704
2016-12-13,1.4361
2016-12-14,-2.9731
2016-12-15,0.8268
2016-12-16,-0.6271
2016-12-19,0.5825
2016-12-20,0.4344
2016-12-21,1.826
2016-12-22,0.5191
2016-12-23,1.3615
2016-12-27,1.5285
2016-12-28,-1.4142000000000001
2016-12-29,-0.509
2016-12-30,0.0
2017-01-03,-0.0465
2017-01-04,-1.4891
2017-01-05,2.0312
2017-01-06,-0.6019
2017-01-09,0.9315
2017-01-10,1.2921
2017-01-11,-0.1367
2017-01-12,0.3193
2017-01-13,1.6825999999999999
2017-01-17,0.0
2017-01-18,-0.3131
2017-01-19,-1.5702
2017-01-20,0.5469
2017-01-23,-0.7706
2017-01-24,1.3248
2017-01-25,0.9919
2017-01-26,0.4018
2017-01-27,5.2023
2017-01-30,-0.0423
2017-01-31,-2.1142
2017-02-01,-1.6846999999999999
2017-02-02,-0.5712
2017-02-03,1.9001000000000001
2017-02-06,1.3877
2017-02-07,-0.7271
2017-02-08,0.5601
2017-02-09,-0.3856
2017-02-10,0.6452
2017-02-13,1.9231
