ticker,CNBKA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.3846
2000-01-04,-1.9157
2000-01-05,0.0
2000-01-06,0.7813
2000-01-07,2.3256
2000-01-10,-1.8939
2000-01-11,-0.3861
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,-1.5504
2000-01-18,-2.3622
2000-01-19,-0.8065
2000-01-20,0.813
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,2.4194
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,-1.8582999999999998
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,1.6129
2000-02-03,0.7937
2000-02-04,0.7874
2000-02-08,1.5625
2000-02-09,0.0
2000-02-10,-3.0769
2000-02-14,2.3810000000000002
2000-02-15,-0.7752
2000-02-16,0.7813
2000-02-17,-0.7752
2000-02-18,0.0
2000-02-22,-1.5625
2000-02-23,-2.3810000000000002
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-0.813
2000-02-29,0.8197
2000-03-01,0.0
2000-03-02,0.4065
2000-03-03,-1.2146
2000-03-06,-1.6393
2000-03-07,-1.6667
2000-03-08,-4.2373
2000-03-09,-4.4248
2000-03-10,4.6296
2000-03-13,-6.1947
2000-03-14,-1.8868
2000-03-15,0.0
2000-03-16,13.461500000000001
2000-03-17,5.0847
2000-03-20,-8.871
2000-03-22,-1.7699
2000-03-23,0.9009
2000-03-24,0.0
2000-03-27,-6.25
2000-03-28,0.9524
2000-03-29,0.0
2000-03-30,-1.8868
2000-03-31,0.0
2000-04-03,-1.9231
2000-04-04,0.9804
2000-04-05,0.9709
2000-04-06,2.8846
2000-04-07,4.6729
2000-04-12,0.0
2000-04-13,-4.4643
2000-04-14,-0.9346
2000-04-17,-1.8868
2000-04-18,0.9615
2000-04-19,0.0
2000-04-20,-0.9524
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,1.9231
2000-04-27,-1.283
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,1.9231
2000-05-04,1.8868
2000-05-05,-1.3889
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-2.3474
2000-05-11,1.9231
2000-05-12,-0.9434
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,1.9048
2000-05-19,0.0
2000-05-22,-2.8037
2000-05-23,0.0
2000-05-24,0.0
2000-05-25,0.9615
2000-05-31,2.8571
2000-06-01,0.0
2000-06-02,1.8519
2000-06-05,-0.9091
2000-06-07,0.0
2000-06-09,0.0
2000-06-12,0.0
