ticker,TSOI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-26,100.0
2008-06-27,0.0
2008-07-01,-50.0
2008-07-02,0.0
2008-07-03,-20.0
2008-07-07,0.0
2008-07-09,30.0
2008-07-16,-38.4615
2008-07-17,87.5
2008-07-22,0.0
2008-07-23,-33.3333
2008-07-24,50.0
2008-08-06,0.0
2008-08-13,0.0
2008-08-14,-30.0
2008-08-18,4.7619
2008-08-19,77.2727
2008-08-22,-46.1538
2008-08-25,19.0476
2008-08-26,0.0
2008-08-27,-20.0
2008-08-28,15.0
2008-08-29,0.0
2008-09-02,21.7391
2008-09-04,0.0
2008-09-08,-28.5714
2008-09-22,25.0
2008-09-23,0.0
2008-09-24,0.0
2008-10-02,4.0
2008-10-03,0.0
2008-10-06,7.6923
2008-10-07,3.5714
2008-11-04,3.4483
2008-11-05,-20.0
2008-11-07,0.0
2008-11-11,16.6667
2008-11-14,-3.5714
2008-11-19,0.0
2008-11-21,-11.1111
2008-11-25,0.0
2008-12-03,-16.6667
2008-12-05,5.0
2008-12-10,28.5714
2008-12-17,-29.6296
2008-12-23,42.1053
2009-01-05,-7.4074
2009-01-06,0.0
2009-01-07,0.0
2009-02-04,0.0
2009-02-18,-32.0
2009-02-23,0.0
2009-03-02,0.0
2009-03-19,47.0588
2009-03-23,-12.0
2009-03-24,36.3636
2009-03-30,-33.3333
2009-03-31,50.0
2009-04-02,-10.0
2009-04-07,-29.6296
2009-04-08,21.0526
2009-04-13,-13.0435
2009-04-14,-15.0
2009-04-22,-5.8824
2009-04-23,0.0
2009-04-24,-37.5
2009-05-20,70.0
2009-05-28,-11.7647
2009-06-12,-66.6667
2009-06-15,0.0
2009-06-18,40.0
2009-06-19,0.0
2009-06-26,114.2857
2009-07-09,-33.3333
2009-07-15,0.0
2009-07-21,-10.0
2009-07-24,33.3333
2009-07-27,0.0
2009-07-28,0.0
2009-07-30,0.0
2009-07-31,-8.3333
2009-08-04,-18.1818
2009-08-05,0.0
2009-08-06,-22.2222
2009-08-07,28.5714
2009-08-12,0.0
2009-08-13,11.1111
2009-08-14,10.0
2009-08-17,-9.0909
2009-08-18,0.0
2009-08-21,-30.0
2009-08-24,14.2857
2009-08-28,-12.5
2009-09-15,-28.5714
2009-09-24,0.0
2009-09-25,140.0
2009-10-27,-33.3333
2009-10-28,0.0
2009-10-30,-12.5
2009-11-02,-14.2857
2009-11-04,-83.3333
2009-11-05,700.0
2009-11-09,-12.5
2009-11-10,-28.5714
2009-11-11,10.0
