ticker,IKTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-30,75.0
2009-11-03,14.2857
2009-11-04,50.0
2009-11-05,-23.3333
2009-11-06,2.1739
2009-11-09,-4.2553
2009-11-10,-11.1111
2009-11-12,0.0
2009-11-17,25.0
2009-11-18,-10.0
2009-11-19,0.0
2009-11-20,-6.6667
2009-11-23,19.0476
2009-11-25,-10.0
2009-11-27,11.1111
2009-11-30,20.0
2009-12-01,-11.6667
2009-12-02,11.3208
2009-12-03,-1.6949
2009-12-04,5.1724
2009-12-07,-8.1967
2009-12-08,3.5714
2009-12-09,-6.8966
2009-12-10,1.8519
2009-12-11,-5.4545
2009-12-14,-23.0769
2009-12-15,13.75
2009-12-16,12.0879
2009-12-17,-19.6078
2009-12-18,14.6341
2009-12-21,-8.5106
2009-12-22,9.3023
2009-12-24,-12.766
2009-12-28,14.6341
2009-12-29,6.383
2009-12-30,-8.0
2009-12-31,8.6957
2010-01-04,-6.0
2010-01-05,1.0638
2010-01-06,9.473700000000001
2010-01-07,-1.9231
2010-01-08,3.9215999999999998
2010-01-11,-15.0943
2010-01-12,13.3333
2010-01-13,3.9215999999999998
2010-01-14,0.0
2010-01-15,0.0
2010-01-19,0.0
2010-01-20,5.6604
2010-01-21,1.7856999999999998
2010-01-22,-3.5088
2010-01-25,1.8182
2010-01-26,-3.5714
2010-01-27,3.7037
2010-01-28,0.0
2010-01-29,3.5714
2010-02-01,-6.8966
2010-02-02,-1.8519
2010-02-03,-5.6604
2010-02-04,4.0
2010-02-05,0.0
2010-02-08,-3.8462
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,-2.0
2010-02-12,-2.0408
2010-02-16,-0.2083
2010-02-17,-6.0543
2010-02-18,-11.1111
2010-02-19,17.5
2010-02-22,-2.1277
2010-02-23,-7.6087
2010-02-24,5.8824
2010-02-25,4.4444
2010-02-26,6.383
2010-03-01,4.0
2010-03-02,5.7692
2010-03-03,1.8182
2010-03-04,-8.9286
2010-03-05,0.0
2010-03-08,-13.7255
2010-03-09,2.2727
2010-03-10,4.4444
2010-03-11,2.1277
2010-03-12,4.1667
2010-03-15,-2.0
2010-03-16,-5.102
2010-03-17,-13.9785
2010-03-18,15.0
2010-03-19,2.1739
2010-03-22,0.0
2010-03-23,-4.2553
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,-11.1111
2010-03-29,-4.75
2010-03-30,4.9869
2010-03-31,2.5
2010-04-01,-2.439
2010-04-05,-5.0
2010-04-06,-2.6316
