ticker,BCSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-07,2.9851
2005-03-09,0.0
2005-03-10,5.7971
2005-03-17,-1.3699
2005-04-05,1.3889
2005-07-08,-1.3699
2005-12-23,-4.1667
2006-01-04,4.3478
2006-06-27,-6.25
2006-08-07,0.0
2006-08-09,-1.4815
2006-08-14,7.5188
2007-02-07,1.3986
2007-02-26,-5.5172
2007-02-27,0.0
2007-03-21,9.4891
2008-01-04,-2.0
2009-06-19,-17.0068
2010-02-17,-4.918
2010-04-07,12.069
2010-06-01,-7.6923
2011-02-08,-36.6667
2011-02-09,3.9474
2011-04-05,56.962
2013-12-12,9.553
2014-10-27,14.3791
2016-04-28,14.2314
2016-05-31,8.3278
2016-06-01,27.048
2016-06-03,2.9412000000000003
2016-06-10,28.5714
2016-07-01,-11.1111
2016-12-21,-11.3924
2017-04-05,14.2857
2017-10-19,7.4317
2018-10-26,8.3032
2020-03-12,4.1667
