ticker,JCTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-18,250.0
2017-11-14,43.1429
2017-11-17,9.7804
2017-12-14,0.0
2017-12-19,-0.3636
2018-01-24,0.0
2018-03-01,-4.0146
2018-05-09,-61.9772
