ticker,SBEV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-06,-11.7647
2019-02-07,13.3333
2019-02-08,2.9412000000000003
2019-02-11,3.8095
2019-02-12,0.9174
2019-02-13,9.0909
2019-02-14,8.3333
2019-02-19,7.6923
2019-03-04,-14.2857
2019-03-05,0.0
2019-03-06,0.0
2019-03-15,-36.6667
2019-03-18,57.8947
2019-03-19,-36.6667
2019-03-20,8.6842
2019-03-21,18.7651
2019-05-09,73.2926
2019-05-10,17.647100000000002
2019-05-14,24.0
2019-05-31,-20.1613
2019-06-05,-5.0505
2019-06-06,22.3404
2019-06-18,-13.0435
2019-06-19,19.0
2019-06-20,8.4034
2019-06-24,5.4264
2019-06-26,0.0
2019-06-27,-26.4706
2019-06-28,30.0
2019-07-01,-3.8462
2019-07-02,-37.6
2019-07-03,60.2564
2019-07-05,4.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,-11.538499999999999
2019-07-15,13.0435
2019-07-17,-3.4615
2019-07-18,7.5697
2019-07-19,33.3333
2019-07-22,11.1111
2019-07-23,17.5
2019-07-24,6.383
2019-07-25,0.0
2019-07-29,10.0
2019-07-30,18.1818
2019-07-31,0.0
2019-08-01,7.6923
2019-08-02,8.5714
2019-08-05,-0.0026
2019-08-07,-15.2609
2019-08-08,11.8012
2019-08-09,9.7222
2019-08-13,0.0
2019-08-14,-3.7975
2019-08-15,0.0
2019-08-16,3.6842
2019-08-19,0.0
2019-08-20,1.5228000000000002
2019-08-21,2.5
2019-08-22,4.878
2019-08-23,4.6512
2019-08-26,22.2222
2019-08-27,18.1818
2019-08-28,-21.2308
2019-08-29,-0.3906
2019-08-30,-50.0
2019-09-03,11.7647
2019-09-04,-1.7544
2019-09-05,-34.6429
2019-09-06,6.5574
2019-09-09,-35.8974
2019-09-10,-19.72
2019-09-11,-17.2795
2019-09-12,-0.012
2019-09-13,-11.9277
2019-09-16,29.959
2019-09-17,-5.2632
2019-09-19,0.0
2019-09-20,-1.1222
2019-09-23,-4.4836
2019-09-24,1.1764999999999999
2019-09-25,3.2558
2019-09-26,-16.6667
2019-09-27,17.5676
2019-09-30,-28.7241
2019-10-01,12.885
2019-10-02,0.0
2019-10-03,18.5714
2019-10-04,0.0
2019-10-07,-3.6145
2019-10-08,12.5
2019-10-09,-5.5556
2019-10-10,5.8824
2019-10-11,0.0
2019-10-14,-2.7761
2019-10-15,2.8554
2019-10-16,-0.0111
2019-10-21,-12.2125
2019-10-22,8.6095
