ticker,ZEST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-11,0.0
2010-02-12,-36.0
2010-02-16,6.5855
2010-02-17,23.5294
2010-02-18,0.0
2010-02-19,-14.2857
2010-02-22,1.1111
2010-02-23,0.0
2010-02-24,2.1978
2010-02-25,-2.1505
2010-02-26,0.0
2010-03-02,15.3846
2010-03-03,-10.4762
2010-03-04,-1.0638
2010-03-08,7.5269
2010-03-09,0.0
2010-03-10,-4.0
2010-03-11,4.1667
2010-03-15,-5.0
2010-03-19,0.0
2010-03-22,-7.3684
2010-03-23,2.2727
2010-04-08,11.1111
2010-04-09,5.0
2010-04-14,-14.2857
2010-04-19,0.0
2010-04-27,12.2222
2010-04-29,0.0
2010-04-30,19.802
2010-05-05,-9.0909
2010-05-06,0.0
2010-05-10,0.0
2010-05-13,-8.1818
2010-05-14,-0.9901
2010-05-18,0.0
2010-05-20,0.0
2010-05-28,5.0
2010-06-08,0.0
2010-06-09,-13.3333
2010-06-10,-6.5934
2010-06-22,0.0
2010-06-28,23.5294
2010-06-30,0.0
2010-07-20,-19.0476
2010-07-28,23.5294
2010-08-02,-47.619
2010-08-09,90.9091
2010-08-17,-1.9048
2010-08-18,-17.4757
2010-08-30,0.0
2010-08-31,23.5294
2010-09-17,-14.2857
2010-09-20,-22.2222
2010-09-24,44.2857
2010-09-27,1.9802
2010-09-30,0.0
2010-10-05,-41.7476
2010-10-06,5.0
2010-10-18,3.1746
2010-10-19,-6.1538
2010-10-22,4.918
2010-10-25,-6.25
2010-10-26,0.0
2010-10-27,0.0
2010-10-29,0.0
2010-11-02,0.0
2010-11-05,0.0
2010-11-08,0.0
2010-11-09,0.0
2010-11-11,16.6667
2010-11-12,-2.8571
2010-11-15,-11.7647
2010-11-16,-11.6667
2010-11-17,13.2075
2010-11-18,0.0
2010-11-19,1.6667
2010-11-22,-14.7541
2010-11-23,17.3077
2010-11-24,0.0
2010-11-29,-16.3934
2010-11-30,0.0
2010-12-02,21.5686
2010-12-03,-11.2903
2010-12-06,0.0
2010-12-07,-5.4545
2010-12-08,13.461500000000001
2010-12-09,-3.3898
2010-12-10,-12.2807
2010-12-13,0.0
2010-12-16,-10.0
2010-12-21,11.1111
2010-12-22,0.0
2010-12-23,-2.0
2010-12-31,-12.2449
2011-01-03,0.0
2011-01-04,-2.3256
2011-01-10,-35.7143
2011-01-11,-18.5185
2011-01-14,59.0909
2011-01-18,0.0
2011-01-19,0.0
2011-01-21,0.0
2011-01-24,0.0
