ticker,SMAR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-27,30.0
2018-04-30,-1.0256
2018-05-01,2.8497
2018-05-02,-1.7128
2018-05-03,-0.3588
2018-05-04,-2.8807
2018-05-07,3.8136
2018-05-08,5.7653
2018-05-09,2.9908
2018-05-10,-2.8103
2018-05-11,-1.1566
2018-05-14,1.1214
2018-05-15,-0.675
2018-05-16,-2.9126
2018-05-17,-2.7
2018-05-18,2.2096999999999998
2018-05-21,0.7039
2018-05-22,1.0984
2018-05-23,0.0494
2018-05-24,9.7236
2018-05-25,1.3495
2018-05-29,1.1096
2018-05-30,0.3951
2018-05-31,8.9637
2018-06-01,5.4173
2018-06-04,1.0278
2018-06-05,9.0806
2018-06-06,-0.6908
2018-06-07,-1.0435
2018-06-08,-2.8120000000000003
2018-06-11,-1.9529999999999998
2018-06-12,-2.3239
2018-06-13,2.3792
2018-06-14,4.8690999999999995
2018-06-15,5.9796
2018-06-18,6.9033999999999995
2018-06-19,-10.2453
2018-06-20,-6.3646
2018-06-21,-2.0318
2018-06-22,-8.3333
2018-06-25,10.7363
2018-06-26,-0.7429
2018-06-27,-6.2874
2018-06-28,-2.516
2018-06-29,6.3908
2018-07-02,-6.1995000000000005
2018-07-03,3.8588
2018-07-05,-2.7273
2018-07-06,-2.3161
2018-07-09,-2.8286
2018-07-10,-1.3271
2018-07-11,2.5163
2018-07-12,6.3902
2018-07-13,-0.5569
2018-07-16,-5.0
2018-07-17,-2.1053
2018-07-18,5.3333
2018-07-19,-2.9808
2018-07-20,-4.2088
2018-07-23,3.2513
2018-07-24,-2.5532
2018-07-25,-0.4803
2018-07-26,0.6143
2018-07-27,-4.4047
2018-07-30,-5.292
2018-07-31,3.5645
2018-08-01,-1.907
2018-08-02,10.9531
2018-08-03,0.641
2018-08-06,4.034
2018-08-07,2.0408
2018-08-08,-2.68
2018-08-09,7.7682
2018-08-10,-1.3349
2018-08-13,4.368
2018-08-14,-0.2593
2018-08-15,-5.0873
2018-08-16,1.7214
2018-08-17,-3.0385
2018-08-20,5.0774
2018-08-21,5.889
2018-08-22,2.2816
2018-08-23,0.9062
2018-08-24,1.658
2018-08-27,1.665
2018-08-28,-2.1725
2018-08-29,1.0933
2018-08-30,-0.3042
2018-08-31,0.7797
2018-09-04,6.6263
2018-09-05,-8.3596
2018-09-06,-6.2995
2018-09-07,5.327
2018-09-10,0.0
2018-09-11,1.9184
2018-09-12,-2.2587
2018-09-13,4.5868
2018-09-14,0.0335
