ticker,POTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-08,25.5
2011-06-13,338.247
2011-06-15,163.6364
2011-06-16,13.7931
2011-06-17,24.8485
2011-06-20,-4.1262
2011-06-21,-7.5949
2011-06-22,2.7397
2011-06-23,8.0
2011-06-24,37.284
2011-06-27,33.0935
2011-06-28,28.6486
2011-06-29,-15.9664
2011-06-30,-15.0
2011-07-01,11.7463
2011-07-05,-3.8
2011-07-06,4.6512
2011-07-07,9.0196
2011-07-08,9.1127
2011-07-11,13.1868
2011-07-12,-20.3883
2011-07-13,13.2927
2011-07-14,-9.042
2011-07-15,-5.3254
2011-07-18,-20.625
2011-07-19,0.9449
2011-07-20,17.1607
2011-07-21,3.8782
2011-07-22,-5.9125
2011-07-25,-10.6267
2011-07-26,-6.3548
2011-07-27,-33.2587
2011-07-28,-10.9756
2011-07-29,-20.5479
2011-08-01,9.1379
2011-08-02,-9.9526
2011-08-03,-28.0702
2011-08-04,-37.0732
2011-08-05,59.7868
2011-08-08,32.929
2011-08-09,-6.9343
2011-08-10,0.7843
2011-08-11,-22.179
2011-08-12,-4.5
2011-08-15,-13.6126
2011-08-16,6.0606
2011-08-17,-1.7143000000000002
2011-08-18,-7.5581
2011-08-19,7.5472
2011-08-22,-0.5848
2011-08-23,-0.5882
2011-08-24,-5.3254
2011-08-25,3.125
2011-08-26,-6.0606
2011-08-29,-0.6452
2011-08-30,-3.8961
2011-08-31,-10.8108
2011-09-01,-11.3636
2011-09-02,-4.2735
2011-09-06,-1.7856999999999998
2011-09-07,2.8977
2011-09-08,9.5527
2011-09-09,-3.2258
2011-09-12,-5.8333
2011-09-13,-2.6549
2011-09-14,-21.8182
2011-09-15,15.1163
2011-09-16,-4.0404
2011-09-19,0.5263
2011-09-20,13.089
2011-09-21,4.6296
2011-09-22,87.6106
2011-09-23,-3.3019
2011-09-26,-0.4878
2011-09-27,6.8627
2011-09-28,-3.6696999999999997
2011-09-29,21.369
2011-09-30,17.3124
2011-10-03,21.4047
2011-10-04,-45.1791
2011-10-05,-6.5327
2011-10-06,-5.914
2011-10-07,-12.5714
2011-10-10,-2.0425
2011-10-11,-3.2527
2011-10-12,-3.4483
2011-10-13,0.0
2011-10-14,-16.4286
2011-10-17,-16.2393
2011-10-18,-6.1224
2011-10-19,-10.8696
2011-10-20,10.9756
2011-10-21,-12.0879
2011-10-24,3.75
2011-10-25,-2.4096
2011-10-26,1.0802
2011-10-27,-4.7328
2011-10-28,-2.5641
