ticker,RUTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-09,15.0
2005-08-10,3.1884
2005-08-11,-1.5449000000000002
2005-08-12,-0.1902
2005-08-15,-1.5245
2005-08-16,-1.5481
2005-08-17,-1.5232999999999999
2005-08-18,-0.6986
2005-08-19,0.804
2005-08-22,-0.4487
2005-08-23,-0.9514
2005-08-24,-2.6795
2005-08-25,6.6494
2005-08-26,1.8997000000000002
2005-08-29,-0.8126
2005-08-30,-4.1446
2005-08-31,-5.4801
2005-09-01,-5.4787
2005-09-02,0.2814
2005-09-06,2.3569
2005-09-07,2.3026
2005-09-08,-1.5541
2005-09-09,-1.0887
2005-09-12,2.9169
2005-09-13,0.0535
2005-09-14,-2.2982
2005-09-15,-1.3676
2005-09-16,4.0488
2005-09-19,-1.7058
2005-09-20,-1.0304
2005-09-21,-3.8356
2005-09-22,-1.8234
2005-09-23,2.5537
2005-09-26,-0.5659
2005-09-27,-1.5936
2005-09-28,3.9907
2005-09-29,3.4483
2005-09-30,-1.1828
2005-10-03,2.7748
2005-10-04,-2.8587
2005-10-05,-1.3079
2005-10-06,-0.6074
2005-10-07,0.8333
2005-10-10,0.4959
2005-10-11,0.0548
2005-10-12,-4.274
2005-10-13,1.6027
2005-10-14,0.9014
2005-10-17,-0.335
2005-10-18,-1.9048
2005-10-19,0.2856
2005-10-20,3.5877
2005-10-21,0.7697
2005-10-24,-0.3273
2005-10-25,-1.9157
2005-10-26,-1.4509
2005-10-27,-2.0385
2005-10-28,0.289
2005-10-31,2.9395
2005-11-01,0.0
2005-11-02,1.3998
2005-11-03,-1.2147999999999999
2005-11-04,1.7328000000000001
2005-11-07,-0.7692
2005-11-08,-2.1595
2005-11-09,-1.528
2005-11-10,-1.0345
2005-11-11,4.4715
2005-11-14,-0.7782
2005-11-15,-8.2913
2005-11-16,0.9163
2005-11-17,1.0291
2005-11-18,-0.3595
2005-11-21,4.9308
2005-11-22,2.808
2005-11-23,0.7804
2005-11-25,-0.2765
2005-11-28,-1.1093
2005-11-29,0.1122
2005-11-30,-0.9524
2005-12-01,-1.1878
2005-12-02,0.0
2005-12-05,-0.6297
2005-12-06,1.0945
2005-12-07,-0.9687
2005-12-08,0.748
2005-12-09,1.8846
2005-12-12,1.065
2005-12-13,3.716
2005-12-14,2.5667999999999997
2005-12-15,-1.7205
2005-12-16,-1.3263
2005-12-19,-2.0968
2005-12-20,-0.4393
2005-12-21,0.5516
2005-12-22,1.0971
2005-12-23,-0.4883
