ticker,MARPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,1.2448
2000-01-07,-3.2787
2000-01-10,-5.0847
2000-01-11,-0.8929
2000-01-13,-0.9009
2000-01-18,4.5455
2000-01-19,0.0
2000-01-20,-2.6087
2000-01-21,1.7856999999999998
2000-01-24,1.7544
2000-01-25,0.0
2000-01-31,0.8621
2000-02-01,1.7094
2000-02-02,2.521
2000-02-03,-1.6393
2000-02-04,1.6667
2000-02-07,1.6393
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,0.4032
2000-02-16,-1.2048
2000-02-17,-1.626
2000-02-22,1.6529
2000-02-23,-0.813
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,2.459
2000-02-29,1.1494
2000-03-01,0.0
2000-03-02,3.2787
2000-03-03,-1.5873
2000-03-07,3.2258
2000-03-08,0.0
2000-03-09,-4.6875
2000-03-10,2.459
2000-03-14,2.4
2000-03-16,-3.125
2000-03-17,0.8065
2000-03-20,-0.8
2000-03-22,2.4194
2000-03-23,-3.9370000000000003
2000-03-24,0.0
2000-03-28,-1.2295
2000-03-29,2.9046
2000-03-31,-1.6129
2000-04-05,1.6393
2000-04-06,2.8226
2000-04-07,-1.1764999999999999
2000-04-10,-1.1905000000000001
2000-04-12,-1.2048
2000-04-13,0.0
2000-04-14,-0.4065
2000-04-17,0.0
2000-04-18,2.0408
2000-04-19,0.0
2000-04-24,-6.4
2000-04-25,5.9829
2000-04-27,0.0
2000-05-01,-3.2258
2000-05-02,0.0
2000-05-04,1.6667
2000-05-05,4.0984
2000-05-08,-2.3622
2000-05-09,2.4194
2000-05-10,-1.9685000000000001
2000-05-15,2.008
2000-05-16,-0.7874
2000-05-17,1.1905000000000001
2000-05-18,-0.3922
2000-05-19,0.3937
2000-05-22,1.9607999999999999
2000-05-23,-3.0769
2000-05-24,11.1111
2000-05-25,2.8571
2000-05-26,-1.2916
2000-05-30,6.5693
2000-06-01,-6.1644
2000-06-02,2.1898
2000-06-05,-2.1429
2000-06-06,2.9196999999999997
2000-06-08,-2.8369
2000-06-09,0.7299
2000-06-12,2.8986
2000-06-13,-1.0563
2000-06-15,2.4911
2000-06-16,0.6944
2000-06-20,-0.3448
2000-06-21,0.0
2000-06-23,0.0
2000-06-26,1.7301
2000-06-27,0.6803
2000-06-28,-2.3649
2000-06-29,3.8062
2000-06-30,0.6667
2000-07-03,1.3245
2000-07-05,-0.9804
2000-07-07,0.33
2000-07-10,0.6579
