ticker,STX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-11,-4.1667
2002-12-12,-2.7826
2002-12-13,2.1467
2002-12-16,1.6637
2002-12-17,-0.9475
2002-12-18,-2.6087
2002-12-19,-3.9286
2002-12-20,0.4647
2002-12-23,-3.7927999999999997
2002-12-24,-1.5385
2002-12-26,-2.0508
2002-12-27,0.997
2002-12-30,3.3564
2002-12-31,2.4833
2003-01-02,-2.1435
2003-01-03,2.3810000000000002
2003-01-06,6.3256
2003-01-07,7.1741
2003-01-08,-0.4082
2003-01-09,3.2787
2003-01-10,-11.9048
2003-01-13,-7.8378
2003-01-14,0.1955
2003-01-15,5.0732
2003-01-16,2.2284
2003-01-17,-1.9074
2003-01-21,-5.1852
2003-01-22,-7.0313
2003-01-23,5.042
2003-01-24,-0.5
2003-01-27,-6.0302
2003-01-28,0.5348
2003-01-29,3.5106
2003-01-30,-3.3916
2003-01-31,-2.3404
2003-02-03,-0.1089
2003-02-04,-1.3086
2003-02-05,0.0
2003-02-06,0.0
2003-02-07,-0.5525
2003-02-10,-3.3333
2003-02-11,2.6437
2003-02-12,-6.271
2003-02-13,-3.3573
2003-02-14,4.2184
2003-02-18,4.0476
2003-02-19,2.8604000000000003
2003-02-20,0.2225
2003-02-21,2.1088
2003-02-24,-2.1739
2003-02-25,7.5556
2003-02-26,-1.6529
2003-02-27,-0.7353
2003-02-28,-1.9048
2003-03-03,0.3236
2003-03-04,-0.3226
2003-03-05,0.2157
2003-03-06,3.1216
2003-03-07,1.2526
2003-03-10,0.6186
2003-03-11,-2.1516
2003-03-12,-5.445
2003-03-13,0.2215
2003-03-14,-0.9945
2003-03-17,4.3527000000000005
2003-03-18,2.0321
2003-03-19,-2.0964
2003-03-20,1.0707
2003-03-21,3.8136
2003-03-24,-2.551
2003-03-25,4.712
2003-03-26,1.0
2003-03-27,7.7228
2003-03-28,-4.8713
2003-03-31,-0.2899
2003-04-01,2.4225
2003-04-02,1.6082999999999998
2003-04-03,-0.1862
2003-04-04,-4.1978
2003-04-07,0.3895
2003-04-08,2.0369
2003-04-09,1.9011
2003-04-10,1.0261
2003-04-11,1.108
2003-04-14,0.9132
2003-04-15,3.6199
2003-04-16,3.9301
2003-04-17,2.9412000000000003
2003-04-21,0.0816
2003-04-22,0.7341
2003-04-23,-4.8583
2003-04-24,-2.1277
2003-04-25,-1.2174
2003-04-28,1.0563
2003-04-29,4.878
2003-04-30,0.4153
2003-05-01,1.3234
2003-05-02,0.3265
