ticker,KPTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-06,0.3125
2013-11-07,-0.4361
2013-11-08,1.627
2013-11-11,-1.0468
2013-11-12,-0.4356
2013-11-13,0.0625
2013-11-14,0.0
2013-11-15,-0.0625
2013-11-18,0.1688
2013-11-19,-0.1685
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,1.3125
2013-11-29,0.4935
2013-12-02,-0.6753
2013-12-03,-0.2472
2013-12-04,-0.1859
2013-12-05,-0.4966
2013-12-06,5.4897
2013-12-09,8.2791
2013-12-10,-0.5461
2013-12-11,-2.8556
2013-12-12,2.883
2013-12-13,9.6703
2013-12-16,5.4609
2013-12-17,11.8765
2013-12-18,0.4671
2013-12-19,1.268
2013-12-20,0.5008
2013-12-23,-0.9136
2013-12-24,-1.9279
2013-12-26,-4.1026
2013-12-27,-1.5152
2013-12-30,-0.0905
2013-12-31,3.8043
2014-01-02,0.3927
2014-01-03,-1.2169
2014-01-06,0.044
2014-01-07,-0.044
2014-01-08,-2.5517
2014-01-09,-1.8961999999999999
2014-01-10,-0.6903
2014-01-13,-0.0463
2014-01-14,6.6759
2014-01-15,5.1282
2014-01-16,6.6556
2014-01-17,4.6899
2014-01-21,1.1107
2014-01-22,16.4409
2014-01-23,-2.4843
2014-01-24,-1.5156
2014-01-27,-1.9973999999999998
2014-01-28,0.2005
2014-01-29,4.3014
2014-01-30,5.6586
2014-01-31,5.6278
2014-02-03,-2.4062
2014-02-04,-0.2055
2014-02-05,-6.6471
2014-02-06,0.2836
2014-02-07,4.0842
2014-02-10,1.7507000000000001
2014-02-11,3.1148
2014-02-12,2.4741
2014-02-13,3.7058
2014-02-14,-2.3281
2014-02-18,-0.6375
2014-02-19,-1.4505
2014-02-20,4.6986
2014-02-21,2.2168
2014-02-24,4.073
2014-02-25,1.4231
2014-02-26,1.9795
2014-02-27,0.8845
2014-02-28,-2.2406
2014-03-03,-2.6906
2014-03-04,6.682
2014-03-05,-8.8313
2014-03-06,13.9247
2014-03-07,-2.4261
2014-03-10,1.5154999999999998
2014-03-11,-4.0121
2014-03-12,-1.8955
2014-03-13,-2.3532
2014-03-14,1.5728
2014-03-17,0.9241
2014-03-18,5.4937000000000005
2014-03-19,-1.4075
2014-03-20,1.2610000000000001
2014-03-21,-1.1513
2014-03-24,-14.0956
2014-03-25,-3.3481
2014-03-26,-8.3596
2014-03-27,-1.562
2014-03-28,-1.7455
