ticker,CRTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-09,93.4706
2019-05-10,-27.4552
2019-05-13,0.1676
2019-05-14,0.4184
2019-05-15,4.1667
2019-05-16,0.6
2019-05-17,3.3797
2019-05-20,0.3462
2019-05-21,4.7144
2019-05-22,0.1098
2019-05-23,0.5119
2019-05-24,-0.4729
2019-05-28,-1.8275000000000001
2019-05-29,-2.1966
2019-05-30,1.4465
2019-05-31,-3.6773
2019-06-03,-5.9992
2019-06-04,1.9478
2019-06-05,-0.813
2019-06-06,5.4508
2019-06-07,-2.9538
2019-06-10,2.523
2019-06-11,1.7969
2019-06-12,5.6025
2019-06-13,14.1715
2019-06-14,-0.0318
2019-06-17,21.681
2019-06-18,9.8901
2019-06-19,-2.4524
2019-06-20,-11.6915
2019-06-21,-0.8015
2019-06-24,-1.0867
2019-06-25,7.1831
2019-06-26,1.4717
2019-06-27,3.0821
2019-06-28,6.809
2019-07-01,6.5161
2019-07-02,-10.9761
2019-07-03,-0.5954
2019-07-05,-6.2141
2019-07-08,0.7185
2019-07-09,7.0277
2019-07-10,0.2222
2019-07-11,2.8079
2019-07-12,-1.0541
2019-07-15,0.46
2019-07-16,-6.4835
2019-07-17,3.0928
2019-07-18,2.5
2019-07-19,2.1951
2019-07-22,-0.0239
2019-07-23,-0.8116
2019-07-24,-1.3237
2019-07-25,1.9512
2019-07-26,-16.0048
2019-07-29,5.2407
2019-07-30,-6.0352
2019-07-31,1.9585
2019-08-01,0.565
2019-08-02,-7.3034
2019-08-05,-11.6061
2019-08-06,7.6448
2019-08-07,-2.1019
2019-08-08,-9.6291
2019-08-09,-0.324
2019-08-12,6.97
2019-08-13,0.4727
2019-08-14,-0.2352
2019-08-15,-3.3008
2019-08-16,-6.0258
2019-08-19,-3.0764
2019-08-20,-3.4034
2019-08-21,-1.2272
2019-08-22,-1.8838
2019-08-23,-2.8595
2019-08-26,-1.0093
2019-08-27,-3.6109
2019-08-28,-2.3358
2019-08-29,-0.2256
2019-08-30,-10.2216
2019-09-03,6.7003
2019-09-04,5.0519
2019-09-05,3.4157
2019-09-06,0.9126
2019-09-09,-9.2162
2019-09-10,4.9336
2019-09-11,14.8734
2019-09-12,11.1373
2019-09-13,0.5666
2019-09-16,-9.7887
2019-09-17,3.5519
2019-09-18,-8.8202
2019-09-19,-0.8268
2019-09-20,12.4635
2019-09-23,2.6316
2019-09-24,-1.4807000000000001
2019-09-25,-6.8182
2019-09-26,-3.2258
2019-09-27,0.2033
