ticker,CGIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-05,12.5
2013-04-08,5.7778
2013-04-09,0.0
2013-04-10,-3.7815
2013-04-11,9.083
2013-04-12,-3.9231
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,-2.0833
2013-04-18,2.1277
2013-04-19,-3.3333
2013-04-22,0.0
2013-04-25,-0.8621
2013-04-26,0.0
2013-04-29,0.4348
2013-04-30,-1.2987
2013-05-01,0.8772
2013-05-02,0.4348
2013-05-03,-0.4329
2013-05-06,0.0
2013-05-07,-0.8696
2013-05-08,3.0702
2013-05-09,-2.1277
2013-05-10,2.1739
2013-05-13,1.2766
2013-05-14,-1.2605
2013-05-15,-0.2553
2013-05-16,0.1706
2013-05-17,0.0852
2013-05-20,-1.2766
2013-05-21,0.431
2013-05-22,0.4292
2013-05-23,-0.0855
2013-05-24,-0.0855
2013-05-28,1.0274
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,-0.4237
2013-06-03,-0.4255
2013-06-04,0.0
2013-06-05,-3.8462
2013-06-06,-6.5778
2013-06-07,-2.4737999999999998
2013-06-10,-3.4146
2013-06-11,0.9091
2013-06-12,-0.4004
2013-06-13,0.0
2013-06-14,-4.5226
2013-06-17,2.6316
2013-06-18,2.0513
2013-06-19,-0.402
2013-06-20,-2.6236
2013-06-21,2.0725
2013-06-24,1.0152
2013-06-25,0.0
2013-06-26,0.1005
2013-06-27,0.0
2013-06-28,0.0
2013-07-01,1.506
2013-07-02,2.7695
2013-07-03,10.6833
2013-07-05,1.3043
2013-07-08,-1.2876
2013-07-09,0.7826
2013-07-10,-0.7765
2013-07-11,0.8696
2013-07-12,0.0
2013-07-15,0.0
2013-07-16,-13.3621
2013-07-17,9.4527
2013-07-18,-0.3636
2013-07-19,-0.8212
2013-07-22,6.7157
2013-07-23,-2.1552
2013-07-24,-3.0837
2013-07-25,0.0
2013-07-26,-3.1818
2013-07-29,8.4507
2013-07-30,-3.3766
2013-07-31,3.0466
2013-08-01,-3.1304
2013-08-02,2.7828
2013-08-05,-2.8821
2013-08-06,4.3165
2013-08-07,-1.3793
2013-08-08,0.5245
2013-08-09,1.7391
2013-08-12,0.0
2013-08-13,-5.1282
2013-08-14,-18.018
2013-08-15,6.044
2013-08-16,1.0363
2013-08-19,-2.4615
2013-08-20,-1.1567
2013-08-21,-1.5957
2013-08-22,0.1081
2013-08-23,7.8834
2013-08-26,-1.2012
2013-08-27,-0.7092
2013-08-28,-0.3061
2013-08-29,-1.74
