ticker,NML US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-26,0.7
2013-03-27,2.0357
2013-03-28,0.7299
2013-04-01,-0.9662
2013-04-02,0.878
2013-04-03,-1.1122
2013-04-04,0.7824
2013-04-05,-0.9704
2013-04-08,0.441
2013-04-09,0.7317
2013-04-10,2.3245
2013-04-11,0.3786
2013-04-12,-0.9477
2013-04-15,1.3851
2013-04-16,-0.2817
2013-04-17,0.0942
2013-04-18,0.8937
2013-04-19,0.3263
2013-04-22,-0.2323
2013-04-23,2.2357
2013-04-24,-0.1367
2013-04-25,-2.4185
2013-04-26,-0.7474
2013-04-29,-2.4965
2013-04-30,-1.256
2013-05-01,-0.2446
2013-05-02,0.4414
2013-05-03,0.8789
2013-05-06,-1.0649
2013-05-07,0.4892
2013-05-08,-0.0487
2013-05-09,-0.1948
2013-05-10,-1.6105
2013-05-13,0.4712
2013-05-14,0.0
2013-05-15,0.4467
2013-05-16,-0.4447
2013-05-17,0.8933
2013-05-20,0.2951
2013-05-21,-0.7357
2013-05-22,-0.247
2013-05-23,-0.7033
2013-05-24,0.5587
2013-05-28,-0.0496
2013-05-29,-0.6452
2013-05-30,-0.2997
2013-05-31,-0.4509
2013-06-03,-0.8556
2013-06-04,-0.3553
2013-06-05,0.1528
2013-06-06,0.1526
2013-06-07,0.8958
2013-06-10,-2.1462
2013-06-11,-1.5226
2013-06-12,-1.6402
2013-06-13,4.2751
2013-06-14,-1.9457
2013-06-17,0.3133
2013-06-18,1.4055
2013-06-19,-0.8214
2013-06-20,-2.4327
2013-06-21,0.2122
2013-06-24,-1.0058
2013-06-25,0.0
2013-06-26,3.1016
2013-06-27,-0.9336
2013-06-28,2.7225
2013-07-01,0.9684
2013-07-02,0.0
2013-07-03,-2.5745
2013-07-05,-0.5181
2013-07-08,2.6563
2013-07-09,0.4059
2013-07-10,0.0505
2013-07-11,0.6313
2013-07-12,0.3027
2013-07-15,0.2012
2013-07-16,-0.3514
2013-07-17,0.7053
2013-07-18,-0.05
2013-07-19,0.0501
2013-07-22,-2.1011
2013-07-23,1.0731
2013-07-24,-1.6684
2013-07-25,0.4113
2013-07-26,0.1024
2013-07-29,-1.2788
2013-07-30,-1.5544
2013-07-31,1.1053
2013-08-01,1.7699
2013-08-02,0.3581
2013-08-05,0.8665
2013-08-06,0.4042
2013-08-07,-0.5033
2013-08-08,0.0506
2013-08-09,0.2022
2013-08-12,0.4036
2013-08-13,-0.6784
2013-08-14,-1.0173
2013-08-15,1.1305
