ticker,CMEY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-17,-26.6667
2009-04-27,18.1818
2009-04-28,192.3077
2009-05-01,5.2632
2009-05-08,0.0
2009-05-11,2.5
2009-05-14,0.0
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,4.878
2009-06-01,0.0
2009-06-02,-41.8605
2009-06-03,-8.0
2009-06-04,65.2174
2009-06-08,-73.6842
2009-06-09,300.0
2009-06-22,-30.0
2009-06-23,-10.7143
2009-07-23,-52.0
2009-07-31,8.3333
2009-08-04,-30.7692
2009-08-10,0.0
2009-08-11,77.7778
2009-08-12,56.25
2009-08-13,20.0
2009-08-14,16.6667
2009-08-17,-5.7143
2009-08-18,6.0606
2009-08-19,2.8571
2009-08-20,8.3333
2009-08-21,2.5641
2009-08-24,5.0
2009-08-25,0.0
2009-08-26,-7.1429
2009-08-27,20.5128
2009-08-28,4.2553
2009-08-31,6.1224
2009-09-01,3.8462
2009-09-02,5.5556
2009-09-03,-3.5088
2009-09-04,5.4545
2009-09-08,-3.4483
2009-09-09,5.3571
2009-09-10,3.3898
2009-09-11,1.6393
2009-09-14,0.0
2009-09-15,4.8387
2009-09-16,3.0769
2009-09-17,-1.4925
2009-09-18,7.5758
2009-09-21,-5.6338
2009-09-22,2.9851
2009-09-23,8.6957
2009-09-24,1.3333
2009-09-25,0.0
2009-09-28,1.3158
2009-09-29,0.0
2009-09-30,-1.2987
2009-10-01,-21.0526
2009-10-02,13.3333
2009-10-05,-17.647100000000002
2009-10-06,-19.6429
2009-10-07,-33.3333
2009-10-08,16.6667
2009-10-13,-37.1429
2009-10-14,45.4545
2009-10-16,-12.5
2009-10-19,-42.8571
2009-10-21,75.0
2009-10-23,0.0
2009-11-02,-42.8571
2009-11-03,75.0
2009-11-09,-42.8571
2009-11-11,0.0
2009-11-12,0.0
2009-11-13,0.0
2009-11-16,-12.5
2009-11-17,-14.2857
2009-11-18,16.6667
2009-11-19,7.1429
2009-11-30,-13.3333
2009-12-01,0.0
2009-12-02,0.0
2009-12-09,-15.3846
2009-12-10,-18.1818
2009-12-11,0.0
2009-12-14,-33.3333
2009-12-15,-25.0
2009-12-17,0.0
2009-12-18,-22.2222
2009-12-21,0.0
2009-12-24,0.0
2009-12-29,0.0
2009-12-31,28.5714
2010-01-04,0.0
2010-01-19,-22.2222
2010-01-20,0.0
2010-01-27,-14.2857
2010-01-28,0.0
2010-01-29,0.0
2010-02-16,0.0
2010-03-05,0.0
2010-03-09,0.0
