ticker,GLOB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-21,2.3111
2014-07-22,-0.6082
2014-07-23,-3.6713
2014-07-24,-0.2722
2014-07-25,-2.9116999999999997
2014-07-28,4.4986
2014-07-29,2.4215
2014-07-30,0.4378
2014-07-31,-1.3078
2014-08-01,0.8834
2014-08-04,2.8021000000000003
2014-08-05,1.448
2014-08-06,-0.1679
2014-08-07,-1.8502999999999998
2014-08-08,2.3993
2014-08-11,3.431
2014-08-12,-1.7799
2014-08-13,0.4119
2014-08-14,1.0664
2014-08-15,-1.2987
2014-08-18,-0.9046
2014-08-19,-1.9917
2014-08-20,-2.0322
2014-08-21,7.6059
2014-08-22,1.2048
2014-08-25,-0.7937
2014-08-26,-0.16
2014-08-27,-0.641
2014-08-28,-0.5645
2014-08-29,0.6488
2014-09-02,5.8018
2014-09-03,3.5034
2014-09-04,4.4886
2014-09-05,-1.4788999999999999
2014-09-08,-2.4303
2014-09-09,-4.7619
2014-09-10,1.1538
2014-09-11,-0.1521
2014-09-12,-0.3046
2014-09-15,-0.5348
2014-09-16,-2.0737
2014-09-17,1.1764999999999999
2014-09-18,3.7209
2014-09-19,-0.299
2014-09-22,-0.2999
2014-09-23,1.0526
2014-09-24,-1.1905000000000001
2014-09-25,-2.3343
2014-09-26,6.5536
2014-09-29,-0.7236
2014-09-30,2.551
2014-10-01,-1.8479
2014-10-02,-1.7379
2014-10-03,0.1474
2014-10-06,2.649
2014-10-07,-2.8674
2014-10-08,0.0738
2014-10-09,-4.056
2014-10-10,2.2291
2014-10-13,-1.0526
2014-10-14,1.7477
2014-10-15,-1.3443
2014-10-16,3.1037
2014-10-17,-7.2687
2014-10-20,4.8298
2014-10-21,-1.284
2014-10-22,-2.6779
2014-10-23,0.5503
2014-10-24,-1.9546999999999999
2014-10-27,-2.7911
2014-10-28,6.4807
2014-10-29,-1.9260000000000002
2014-10-30,3.6921
2014-10-31,-1.9697
2014-11-03,3.7094
2014-11-04,0.4471
2014-11-05,-0.1484
2014-11-06,-0.2972
2014-11-07,5.2161
2014-11-10,-0.8499
2014-11-11,-4.1429
2014-11-12,0.8942
2014-11-13,-1.9202
2014-11-14,-1.1295
2014-11-17,-0.0762
2014-11-18,-0.9909
2014-11-19,-1.4627
2014-11-20,1.5625
2014-11-21,0.3846
2014-11-24,3.4483
2014-11-25,-1.6296
2014-11-26,2.7861000000000002
2014-11-28,1.0989
2014-12-01,-6.5217
2014-12-02,2.093
2014-12-03,0.6074
