ticker,FEIM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2048
2000-01-04,-6.0976
2000-01-05,7.7922
2000-01-06,3.6145
2000-01-07,-3.4884
2000-01-10,-1.2048
2000-01-11,-1.2195
2000-01-12,-1.2346
2000-01-13,2.5
2000-01-14,1.2195
2000-01-18,-2.4096
2000-01-19,-2.4691
2000-01-20,3.7975
2000-01-21,6.0976
2000-01-24,9.1954
2000-01-25,-2.6316
2000-01-26,2.7027
2000-01-27,-5.2632
2000-01-28,-2.2222
2000-01-31,-2.2727
2000-02-01,1.1628
2000-02-02,3.4483
2000-02-03,-4.4444
2000-02-04,5.2326
2000-02-07,17.1271
2000-02-08,11.3208
2000-02-09,0.0
2000-02-10,-3.3898
2000-02-11,-7.8947
2000-02-14,-0.4762
2000-02-15,6.2201
2000-02-16,-0.9009
2000-02-17,-1.8182
2000-02-18,6.4815
2000-02-22,13.0435
2000-02-23,-1.5385
2000-02-24,14.0625
2000-02-25,-5.4795
2000-02-28,5.0725
2000-02-29,26.8966
2000-03-01,4.3478
2000-03-02,22.3958
2000-03-03,-8.0851
2000-03-06,2.3148
2000-03-07,-5.4299
2000-03-08,-8.134
2000-03-09,0.0
2000-03-10,11.9792
2000-03-13,-3.2558
2000-03-14,-4.8077
2000-03-15,-9.0909
2000-03-16,-7.2222
2000-03-17,-2.9939999999999998
2000-03-20,-4.321
2000-03-21,-0.6452
2000-03-22,-0.974
2000-03-23,-2.2951
2000-03-24,2.6846
2000-03-27,-0.6536
2000-03-28,-1.9737
2000-03-29,-2.6846
2000-03-30,-2.4138
2000-03-31,3.1802
2000-04-03,-2.0548
2000-04-04,-8.3916
2000-04-05,1.9083999999999999
2000-04-06,16.8539
2000-04-07,-1.2821
2000-04-10,-4.8701
2000-04-11,-2.3891
2000-04-12,-9.7902
2000-04-13,-3.876
2000-04-14,-6.4516
2000-04-17,-4.3103
2000-04-18,10.8108
2000-04-19,-2.439
2000-04-20,-1.6667
2000-04-24,-5.9322
2000-04-25,4.5045
2000-04-26,9.3103
2000-04-27,7.1429
2000-04-28,-0.7407
2000-05-01,-2.2388
2000-05-02,-2.2901
2000-05-03,0.0
2000-05-04,5.8594
2000-05-05,13.2841
2000-05-08,-1.9544000000000001
2000-05-09,-4.3189
2000-05-10,-4.1667
2000-05-11,2.1739
2000-05-12,4.9645
2000-05-15,-3.7161999999999997
2000-05-16,-0.3509
2000-05-17,8.4507
2000-05-18,-2.9221
2000-05-19,-1.6722000000000001
