ticker,CLNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-02,-4.4118
2018-02-05,-5.3846
2018-02-06,2.439
2018-02-07,0.5291
2018-02-08,-1.0
2018-02-09,0.4785
2018-02-12,-0.7937
2018-02-13,1.3333
2018-02-14,0.7368
2018-02-15,-0.7315
2018-02-16,1.0526
2018-02-20,1.3021
2018-02-21,2.0566
2018-02-22,1.1587
2018-02-23,2.3904
2018-02-26,-0.7782
2018-02-27,1.0294
2018-02-28,1.31
2018-03-01,-1.8199
2018-03-02,2.0
2018-03-05,-2.2477
2018-03-06,0.4892
2018-03-07,2.1178
2018-03-08,0.4321
2018-03-09,0.6214
2018-03-12,-2.5653
2018-03-13,0.0975
2018-03-14,-2.0945
2018-03-15,-3.5323
2018-03-16,-2.9912
2018-03-19,1.1164
2018-03-20,-1.4721
2018-03-21,0.9072
2018-03-22,-0.7403
2018-03-23,-1.4385
2018-03-26,2.7027
2018-03-27,-0.2632
2018-03-28,1.9788999999999999
2018-03-29,-1.1992
2018-04-02,-0.1583
2018-04-03,2.2727
2018-04-04,0.6718
2018-04-05,1.3860000000000001
2018-04-06,-0.2532
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,-1.5735999999999999
2018-04-12,-0.6189
2018-04-13,-1.1417
2018-04-16,1.7323
2018-04-17,0.2064
2018-04-18,0.7209
2018-04-19,-1.1247
2018-04-20,-2.0165
2018-04-23,1.3193
2018-04-24,-0.8854
2018-04-25,0.3153
2018-04-26,-0.2095
2018-04-27,2.4409
2018-04-30,-1.7037
2018-05-01,2.7836
2018-05-02,-1.2775
2018-05-03,-0.8799
2018-05-04,-0.47
2018-05-07,0.3148
2018-05-08,-1.7259
2018-05-09,3.14
2018-05-10,0.9804
2018-05-11,-1.5840999999999998
2018-05-14,0.7269
2018-05-15,-0.3608
2018-05-16,0.1552
2018-05-17,-1.343
2018-05-18,1.2565
2018-05-21,-0.4654
2018-05-22,-0.5714
2018-05-23,-0.5225
2018-05-24,0.105
2018-05-25,0.2623
2018-05-29,0.1047
2018-05-30,0.5489
2018-05-31,-0.4191
2018-06-01,0.3682
2018-06-04,0.3145
2018-06-05,-0.6792
2018-06-06,-0.6839
2018-06-07,0.0
2018-06-08,-0.5297
2018-06-11,2.4494
2018-06-12,-1.3514
2018-06-13,0.0527
2018-06-14,1.1058
2018-06-15,0.625
2018-06-18,1.7598
2018-06-19,1.6277
2018-06-20,0.1502
2018-06-21,-1.2993999999999999
2018-06-22,0.1013
2018-06-25,3.6419
