ticker,TALO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-02,-0.7689
2017-03-03,-5.773
2017-03-06,-8.3059
2017-03-07,-8.4753
2017-03-08,-10.632
2017-03-09,-4.0022
2017-03-10,5.5968
2017-03-13,1.8929
2017-03-14,3.0786
2017-03-15,10.0927
2017-03-16,-3.8354
2017-03-17,2.6751
2017-03-20,1.8475000000000001
2017-03-21,-2.3256
2017-03-22,-0.3333
2017-03-23,-0.0478
2017-03-24,-0.3346
2017-03-27,3.1175
2017-03-28,0.093
2017-03-29,3.7639
2017-03-30,-1.4778
2017-03-31,-0.7273
2017-04-03,-1.1905000000000001
2017-04-04,0.139
2017-04-05,0.4627
2017-04-06,1.1515
2017-04-07,-2.0036
2017-04-10,1.0223
2017-04-11,-1.9319
2017-04-12,2.0638
2017-04-13,-6.8934
2017-04-17,-0.5429
2017-04-18,2.1836
2017-04-19,0.9228
2017-04-20,1.5399
2017-04-21,-0.8057
2017-04-24,-3.7267
2017-04-25,4.268
2017-04-26,0.1904
2017-04-27,1.0926
2017-04-28,-1.5977000000000001
2017-05-01,-0.9074
2017-05-02,1.2530000000000001
2017-05-03,-1.5231
2017-05-04,-2.9
2017-05-05,2.2897
2017-05-08,1.6058
2017-05-09,0.0958
2017-05-10,0.7656
2017-05-11,4.2735
2017-05-12,-2.8233
2017-05-15,1.6401
2017-05-16,-0.8299
2017-05-17,-0.0465
2017-05-18,-0.4186
2017-05-19,1.9617
2017-05-22,3.2066
2017-05-23,0.2219
2017-05-24,0.3986
2017-05-25,-5.7786
2017-05-26,1.3109
2017-05-30,-2.8651
2017-05-31,3.235
2017-06-01,2.3502
2017-06-02,-0.8104
2017-06-05,3.3590999999999998
2017-06-06,3.7769
2017-06-07,-2.2006
2017-06-08,2.1636
2017-06-09,1.9060000000000001
2017-06-12,1.9534
2017-06-13,3.7096999999999998
2017-06-14,-3.066
2017-06-15,-7.9481
2017-06-16,3.6123
2017-06-19,-3.5289
2017-06-20,-6.9634
2017-06-21,-6.4898
2017-06-22,-7.3455
2017-06-23,-4.6472999999999995
2017-06-26,8.2569
2017-06-27,-2.2246
2017-06-28,-0.8667
2017-06-29,-0.2732
2017-06-30,0.7123
2017-07-03,7.9434000000000005
2017-07-05,-2.621
2017-07-06,0.4141
2017-07-07,-1.701
2017-07-10,5.978
2017-07-11,3.4142
2017-07-12,-0.0478
2017-07-13,-0.0957
2017-07-14,3.9291
2017-07-17,-0.8299
2017-07-18,-2.5105
2017-07-19,0.6676
