ticker,DBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-23,35.619
2018-03-26,6.9171
2018-03-27,-1.8062
2018-03-28,3.612
2018-03-29,0.8715
2018-04-02,-3.968
2018-04-03,5.2649
2018-04-04,-2.3425000000000002
2018-04-05,-1.0211
2018-04-06,-0.9661
2018-04-09,-0.3307
2018-04-10,3.6165000000000003
2018-04-11,3.4902
2018-04-12,2.9394
2018-04-13,-9.8287
2018-04-16,-3.2667
2018-04-17,2.7912
2018-04-18,2.4472
2018-04-19,-2.1597
2018-04-20,-3.2776
2018-04-23,0.657
2018-04-24,-0.584
2018-04-25,-1.0366
2018-04-26,2.4092000000000002
2018-04-27,0.9547
2018-04-30,1.6886
2018-05-01,2.6237
2018-05-02,0.356
2018-05-03,-2.6443
2018-05-04,-3.5111
2018-05-07,0.9612
2018-05-08,2.7882
2018-05-09,3.8703
2018-05-10,1.9108
2018-05-11,-2.25
2018-05-14,-4.2199
2018-05-15,-1.3685
2018-05-16,4.0271
2018-05-17,-0.6181
2018-05-18,-1.1457
2018-05-21,-0.3642
2018-05-22,0.0
2018-05-23,-1.1632
2018-05-24,1.5467
2018-05-25,-0.7616
2018-05-29,-0.634
2018-05-30,2.317
2018-05-31,-1.5753
2018-06-01,-1.1337
2018-06-04,1.113
2018-06-05,3.0354
2018-06-06,1.1007
2018-06-07,-3.074
2018-06-08,-1.0241
2018-06-11,0.4673
2018-06-12,2.4252000000000002
2018-06-13,2.7246
2018-06-14,14.0512
2018-06-15,9.6346
2018-06-18,6.0606
2018-06-19,-5.4762
2018-06-20,-6.0453
2018-06-21,-4.3164
2018-06-22,-5.5198
2018-06-25,-3.5587
2018-06-26,0.7688
2018-06-27,-4.7299
2018-06-28,6.9827
2018-06-29,-2.9341
2018-07-02,1.1721
2018-07-03,-2.439
2018-07-05,-1.6875
2018-07-06,-0.3179
2018-07-09,1.3393
2018-07-10,-1.5733000000000001
2018-07-11,-1.087
2018-07-12,4.7835
2018-07-13,-0.7711
2018-07-16,0.3108
2018-07-17,-1.9213
2018-07-18,-1.2953999999999999
2018-07-19,0.1921
2018-07-20,-0.9585
2018-07-23,2.5806
2018-07-24,-3.3019
2018-07-25,1.8211
2018-07-26,-1.9163000000000001
2018-07-27,-2.2143
2018-07-30,-7.5258
2018-07-31,-3.601
2018-08-01,3.8849
2018-08-02,7.1917
2018-08-03,0.5367
2018-08-06,1.0344
2018-08-07,4.0951
2018-08-08,0.0952
2018-08-09,9.1284
2018-08-10,-9.817
